index,County,Precinct,Registered Voters,"David E. Lucas, Sr. (I) (Dem)_Election Day Votes","David E. Lucas, Sr. (I) (Dem)_Advanced Voting Votes","David E. Lucas, Sr. (I) (Dem)_Absentee by Mail Votes","David E. Lucas, Sr. (I) (Dem)_Provisional Votes","David E. Lucas, Sr. (I) (Dem)_Choice Total",Total,
0,Hancock,Devereux Fire Station,1006,108,239,188,0,535,535,
1,Hancock,St Mark,576,83,135,83,0,301,301,
2,Hancock,Courthouse,931,104,218,161,1,484,484,
3,Hancock,Second Beulah,472,57,121,124,0,302,302,
4,Hancock,Mayfield Community Center,356,57,48,81,0,186,186,
5,Hancock,Power of God,731,96,155,131,1,383,383,
6,Hancock,Warren Chapel,268,15,64,57,0,136,136,
7,Hancock,Youth Center,975,100,214,199,0,513,513,
8,Hancock,Second Darrien,364,73,64,104,0,241,241,
9,Hancock,Sparta 4C,148,16,18,51,0,85,85,
