index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Haralson,Bremen,6622,8,2,2,0,12,11,8,3,0,22,349,882,245,0,1476,6,2,4,0,12,30,43,7,0,80,10,5,3,0,18,16,21,7,0,44,14,39,27,0,80,6,17,8,0,31,21,64,9,0,94,11,19,19,0,49,14,33,18,0,65,485,1144,300,0,1929,6,4,9,0,19,12,17,4,0,33,3,0,2,0,5,0,2,4,0,6,23,37,3,0,63,81,213,187,0,481,5,1,6,0,12,4531,
1,Haralson,Buchanan,2365,2,1,1,0,4,3,2,0,0,5,133,303,77,0,513,2,2,0,0,4,8,9,4,0,21,3,5,0,0,8,10,12,4,0,26,3,8,6,0,17,0,2,3,0,5,15,23,4,0,42,2,3,3,0,8,5,7,4,0,16,194,432,130,0,756,2,0,1,0,3,2,11,1,0,14,1,0,0,0,1,0,1,0,0,1,14,14,0,0,28,28,65,47,1,141,0,0,1,0,1,1614,
2,Haralson,Buncombe,1075,0,1,0,0,1,0,0,0,0,0,108,113,35,0,256,4,0,2,0,6,5,3,3,0,11,0,0,0,0,0,5,2,1,0,8,1,3,4,0,8,0,0,0,0,0,6,10,1,0,17,0,1,1,0,2,3,2,2,0,7,148,113,49,0,310,2,2,0,0,4,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,8,5,1,0,14,19,15,7,0,41,1,1,2,0,4,693,
3,Haralson,Corinth,1682,2,4,0,0,6,0,0,1,0,1,147,208,49,0,404,0,1,0,0,1,9,7,4,0,20,1,2,1,0,4,5,5,0,0,10,1,1,0,0,2,0,0,0,0,0,10,13,2,0,25,2,1,0,0,3,2,5,2,0,9,203,259,88,0,550,0,0,0,0,0,2,1,3,0,6,1,1,1,0,3,0,1,0,0,1,9,7,1,0,17,17,38,16,0,71,0,0,1,0,1,1134,
4,Haralson,Twentieth,738,0,1,1,0,2,1,0,0,0,1,66,58,24,0,148,0,0,0,0,0,5,3,3,0,11,0,0,0,0,0,0,3,0,0,3,4,3,7,0,14,2,1,0,0,3,3,2,0,0,5,0,0,0,0,0,2,0,7,0,9,135,119,45,0,299,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7,3,0,0,10,6,10,6,0,22,1,0,0,0,1,531,
5,Haralson,Felton,304,0,0,0,0,0,0,1,0,0,1,46,26,7,0,79,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,2,2,0,0,4,1,1,1,0,3,0,0,0,0,0,5,2,1,0,8,0,0,0,0,0,0,0,1,0,1,51,41,11,0,103,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,5,0,4,0,9,0,0,0,0,0,218,
6,Haralson,Little Creek,699,2,0,0,0,2,0,0,0,0,0,93,64,28,0,185,0,0,0,0,0,7,4,2,0,13,2,0,0,0,2,2,4,0,0,6,3,1,0,0,4,0,0,0,0,0,8,4,1,0,13,1,0,1,0,2,1,0,3,0,4,141,90,33,0,264,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,7,13,5,11,0,29,0,0,1,0,1,534,
7,Haralson,Mt View,330,1,0,0,0,1,1,0,0,0,1,40,21,12,0,73,1,0,0,0,1,4,0,0,0,4,1,0,0,0,1,2,0,0,0,2,4,0,1,0,5,0,0,0,0,0,1,3,0,0,4,0,1,0,0,1,4,0,0,0,4,77,44,15,0,136,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,4,0,0,6,0,0,0,0,0,243,
8,Haralson,Seventh,1932,3,0,2,0,5,1,0,1,0,2,138,187,43,1,369,1,1,1,0,3,7,7,0,0,14,0,3,2,0,5,6,3,2,0,11,2,7,13,0,22,0,2,0,0,2,6,15,0,0,21,1,3,1,0,5,1,7,5,0,13,203,327,102,1,633,0,0,0,0,0,7,5,0,0,12,1,2,0,0,3,0,0,0,0,0,5,11,2,0,18,24,53,40,0,117,1,1,0,0,2,1257,
9,Haralson,Berea-Steadman,665,1,0,0,0,1,0,0,1,0,1,70,60,24,0,154,0,2,0,0,2,1,3,0,0,4,3,0,0,0,3,5,2,0,0,7,0,1,1,0,2,0,0,0,0,0,6,1,2,0,9,1,1,0,0,2,2,3,1,0,6,119,83,29,0,231,1,1,0,0,2,1,2,0,0,3,0,0,0,0,0,0,0,1,0,1,5,4,0,0,9,5,13,4,0,22,0,0,0,0,0,459,
