index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Henry,Locust Grove,6978,216,1049,237,2,1504,347,2025,901,1,3274,19,30,17,0,66,4844,
1,Henry,Tussahaw,3409,557,1305,250,0,2112,64,205,154,0,423,14,15,9,0,38,2573,
2,Henry,Sandy Ridge,4875,616,1780,268,2,2666,130,515,278,3,926,14,18,5,0,37,3629,
3,Henry,Westside,6971,137,320,138,0,595,535,1666,965,7,3173,8,24,12,0,44,3812,
4,Henry,Lowes,9878,297,1432,332,3,2064,537,2665,1461,3,4666,18,35,20,1,74,6804,
5,Henry,South Hampton,5476,217,1288,209,1,1715,256,1240,577,1,2074,13,25,5,0,43,3832,
6,Henry,North Hampton,7156,233,1352,302,0,1887,334,1775,845,2,2956,14,43,10,0,67,4910,
7,Henry,Mt Carmel,5335,109,504,169,0,782,290,2023,887,1,3201,6,16,9,0,31,4014,
8,Henry,Red Oak,5610,100,360,158,0,618,339,2212,868,1,3420,6,19,7,0,32,4070,
9,Henry,Wesley Lakes,6144,137,590,188,1,916,402,2028,853,5,3288,4,23,11,0,38,4242,
10,Henry,McDonough,2838,94,329,99,0,522,175,841,429,6,1451,6,5,6,0,17,1990,
11,Henry,McMullen,3719,481,1195,222,0,1898,121,558,290,0,969,17,22,12,0,51,2918,
12,Henry,East Lake,3389,243,1284,311,0,1838,100,500,263,0,863,6,15,6,0,27,2728,
13,Henry,Hickory Flat,5122,145,826,250,0,1221,300,1618,717,1,2636,5,20,10,0,35,3892,
14,Henry,Stockbridge East-West,6541,104,379,181,3,667,377,2173,1110,2,3662,7,15,8,0,30,4359,
15,Henry,Stagecoach,3546,117,645,168,1,931,198,870,382,3,1453,3,10,6,0,19,2403,
16,Henry,Cotton Indian,4785,190,899,233,2,1324,196,1324,436,2,1958,3,20,12,0,35,3317,
17,Henry,Pleasant Grove,4135,196,1106,276,1,1579,122,992,470,5,1589,7,20,6,0,33,3201,
18,Henry,Austin Road,3374,79,537,157,0,773,129,1179,422,3,1733,9,18,9,0,36,2542,
19,Henry,Swan Lake,3642,197,909,193,0,1299,153,706,352,2,1213,9,25,6,0,40,2552,
20,Henry,Shakerag,4047,63,220,64,0,347,232,1650,683,2,2567,1,12,3,0,16,2930,
21,Henry,Ellenwood,4275,51,325,115,0,491,177,1726,781,1,2685,4,8,3,0,15,3191,
22,Henry,Unity Grove,4850,421,1774,290,1,2486,104,686,359,1,1150,9,20,9,0,38,3674,
23,Henry,Shiloh,4077,106,472,123,1,702,311,1058,514,8,1891,6,16,3,1,26,2619,
24,Henry,Pates Creek,5214,135,870,407,4,1416,194,1268,729,3,2194,6,10,9,0,25,3635,
25,Henry,Oakland,4508,220,947,292,1,1460,206,1062,550,1,1819,10,21,5,0,36,3315,
26,Henry,Lake Dow,5049,398,1427,391,1,2217,175,913,500,1,1589,6,13,12,0,31,3837,
27,Henry,Flippen,4430,105,575,267,1,948,187,1485,771,0,2443,8,8,7,0,23,3414,
28,Henry,Stockbridge Central,4416,84,441,153,1,679,262,1253,517,2,2034,9,17,8,0,34,2747,
29,Henry,Kelleytown,3452,342,1078,213,0,1633,121,685,305,0,1111,7,20,13,0,40,2784,
30,Henry,Lighthouse,3693,128,587,203,0,918,175,1120,460,0,1755,3,17,10,0,30,2703,
31,Henry,Dutchtown,2751,129,605,213,0,947,131,584,351,2,1068,11,5,6,0,22,2037,
32,Henry,Mt Bethel,3535,627,1070,157,1,1855,155,402,227,0,784,16,9,7,0,32,2671,
33,Henry,Grove Park,4079,258,1033,179,1,1471,190,714,358,1,1263,12,14,8,0,34,2768,
34,Henry,Lake Haven,4260,278,1034,271,1,1584,183,919,380,1,1483,11,16,13,0,40,3107,
35,Henry,McDonough Central,4250,94,757,315,0,1166,208,1105,515,0,1828,8,14,7,0,29,3023,
36,Henry,Timberridge,2096,239,575,140,2,956,75,411,198,0,684,7,7,1,0,15,1655,
