index,County,Precinct,Registered Voters,Dan Perdue (Rep)_Election Day Votes,Dan Perdue (Rep)_Advanced Voting Votes,Dan Perdue (Rep)_Absentee by Mail Votes,Dan Perdue (Rep)_Provisional Votes,Dan Perdue (Rep)_Choice Total,Total,
0,Houston,ANNX,4512,582,1423,769,4,2778,2778,
1,Houston,BMS,9536,1550,3086,1414,2,6052,6052,
2,Houston,CENT,7795,1175,1987,1025,1,4188,4188,
3,Houston,CGTC,4860,623,1620,586,4,2833,2833,
4,Houston,FMMS,8767,1368,2504,965,2,4839,4839,
5,Houston,HAFS,1805,664,367,138,1,1170,1170,
6,Houston,HCTC,6361,777,1379,739,3,2898,2898,
7,Houston,HEFS,1372,399,294,132,6,831,831,
8,Houston,HHPC,9610,1046,2023,1174,3,4246,4246,
9,Houston,MCMS,9181,1322,3013,1156,8,5499,5499,
10,Houston,NSES,2441,459,586,337,1,1383,1383,
11,Houston,RECR,9277,825,1089,785,7,2706,2706,
12,Houston,ROZR,13802,1868,4389,1648,6,7911,7911,
13,Houston,TMS,5286,715,1105,625,3,2448,2448,
14,Houston,TWPK,4415,766,1173,569,2,2510,2510,
15,Houston,VHS,6295,1111,2122,653,3,3889,3889,
