index,County,Precinct,Registered Voters,George Hartwig (I) (Rep)_Election Day Votes,George Hartwig (I) (Rep)_Advanced Voting Votes,George Hartwig (I) (Rep)_Absentee by Mail Votes,George Hartwig (I) (Rep)_Provisional Votes,George Hartwig (I) (Rep)_Choice Total,Erikka B. Williams (Dem)_Election Day Votes,Erikka B. Williams (Dem)_Advanced Voting Votes,Erikka B. Williams (Dem)_Absentee by Mail Votes,Erikka B. Williams (Dem)_Provisional Votes,Erikka B. Williams (Dem)_Choice Total,Total,
0,Houston,ANNX,4512,421,1055,527,5,2008,223,607,553,1,1384,3392,
1,Houston,BMS,9536,1176,2213,990,0,4379,542,1448,1081,3,3074,7453,
2,Houston,CENT,7795,856,1402,693,1,2952,502,1107,882,3,2494,5446,
3,Houston,CGTC,4860,478,1134,401,4,2017,234,831,517,0,1582,3599,
4,Houston,FMMS,8767,933,1601,588,1,3123,647,1628,1003,2,3280,6403,
5,Houston,HAFS,1805,534,305,109,0,948,184,122,104,1,411,1359,
6,Houston,HCTC,6361,480,874,473,2,1829,496,903,692,4,2095,3924,
7,Houston,HEFS,1372,301,224,88,2,615,187,112,107,6,412,1027,
8,Houston,HHPC,9610,624,1315,705,4,2648,730,1356,1162,3,3251,5899,
9,Houston,MCMS,9181,958,2170,713,7,3848,506,1547,965,2,3020,6868,
10,Houston,NSES,2441,338,448,230,1,1017,178,290,288,0,756,1773,
11,Houston,RECR,9277,306,463,273,3,1045,1006,1471,1396,11,3884,4929,
12,Houston,ROZR,13802,1268,3186,1184,4,5642,893,1992,1228,6,4119,9761,
13,Houston,TMS,5286,385,645,339,5,1374,512,961,724,2,2199,3573,
14,Houston,TWPK,4415,563,802,397,1,1763,326,664,450,3,1443,3206,
15,Houston,VHS,6295,858,1567,430,4,2859,382,926,537,0,1845,4704,
