index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Houston,ANNX,4512,450,1190,557,4,2201,181,471,515,2,1169,26,30,23,1,80,3450,
1,Houston,BMS,9536,1308,2505,1013,1,4827,384,1156,1021,2,2563,63,58,46,0,167,7557,
2,Houston,CENT,7795,898,1496,686,2,3082,435,1010,847,2,2294,54,47,32,0,133,5509,
3,Houston,CGTC,4860,527,1309,410,4,2250,185,655,478,0,1318,15,33,30,0,78,3646,
4,Houston,FMMS,8767,1035,1833,582,1,3451,518,1391,971,2,2882,61,52,33,0,146,6479,
5,Houston,HAFS,1805,613,349,112,0,1074,103,81,98,0,282,11,4,2,0,17,1373,
6,Houston,HCTC,6361,499,914,468,2,1883,440,838,656,4,1938,54,45,38,0,137,3958,
7,Houston,HEFS,1372,335,254,87,4,680,155,82,100,5,342,8,3,4,0,15,1037,
8,Houston,HHPC,9610,660,1433,705,3,2801,666,1207,1106,3,2982,59,63,52,1,175,5958,
9,Houston,MCMS,9181,1062,2412,745,8,4227,385,1302,907,2,2596,54,57,28,0,139,6962,
10,Houston,NSES,2441,375,487,232,1,1095,136,256,265,0,657,20,8,17,0,45,1797,
11,Houston,RECR,9277,306,494,280,3,1083,978,1409,1308,10,3705,48,50,65,0,163,4951,
12,Houston,ROZR,13802,1450,3675,1186,3,6314,699,1525,1161,6,3391,60,66,66,1,193,9898,
13,Houston,TMS,5286,418,686,348,3,1455,465,903,666,3,2037,34,35,27,0,96,3588,
14,Houston,TWPK,4415,602,861,384,1,1848,267,588,426,3,1284,28,32,32,0,92,3224,
15,Houston,VHS,6295,949,1747,457,4,3157,277,747,491,0,1515,37,40,26,0,103,4775,
