index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Jones,Gray,0,1,2,1,0,4,2,3,2,0,7,88,427,93,0,608,1,2,0,0,3,8,18,4,0,30,0,3,1,0,4,3,17,1,0,21,9,32,15,0,56,1,10,7,0,18,6,10,1,0,17,3,10,7,0,20,2,18,9,0,29,129,594,114,0,837,3,3,0,0,6,5,5,2,0,12,0,2,0,0,2,0,3,5,0,8,4,14,0,0,18,26,209,120,0,355,1,0,2,0,3,2058,
1,Jones,Hawkins,0,2,5,1,0,8,2,4,3,0,9,85,191,50,0,326,2,3,0,0,5,5,3,3,0,11,2,2,0,0,4,6,10,1,0,17,30,85,50,0,165,11,33,18,0,62,6,8,0,0,14,6,15,17,0,38,10,29,15,0,54,131,272,66,0,469,3,13,4,0,20,2,6,1,0,9,2,1,0,0,3,2,3,2,0,7,4,11,0,0,15,127,471,374,0,972,4,10,8,0,22,2230,
2,Jones,Ethridge,0,0,4,1,0,5,1,1,1,0,3,74,233,41,0,348,0,0,1,0,1,1,6,1,0,8,1,5,0,0,6,0,2,2,0,4,12,23,13,0,48,5,10,4,0,19,2,5,2,0,9,6,10,4,0,20,4,17,6,0,27,89,261,70,0,420,3,1,0,0,4,1,3,0,0,4,0,0,0,0,0,0,1,1,0,2,6,6,0,0,12,43,153,108,0,304,3,1,0,0,4,1248,
3,Jones,Clinton,0,1,1,1,0,3,1,1,2,0,4,96,367,61,2,526,1,0,0,0,1,10,16,2,0,28,1,3,1,0,5,3,3,3,0,9,12,28,13,0,53,1,11,6,0,18,5,14,0,0,19,3,6,3,0,12,3,14,3,0,20,156,423,113,0,692,2,2,4,0,8,2,2,0,0,4,0,0,0,0,0,0,1,3,0,4,5,9,0,0,14,42,178,109,0,329,0,5,3,0,8,1757,
4,Jones,Roberts,0,4,1,1,0,6,4,3,2,0,9,155,218,58,0,431,2,2,0,0,4,16,15,6,0,37,1,4,0,0,5,10,8,1,0,19,22,46,15,1,84,6,7,8,0,21,7,15,1,0,23,5,9,3,0,17,10,16,9,0,35,233,298,104,0,635,2,7,2,0,11,3,4,3,0,10,1,1,0,0,2,0,1,2,0,3,11,5,0,0,16,82,197,146,0,425,2,3,1,0,6,1799,
5,Jones,Davidson,0,2,2,0,0,4,2,0,1,0,3,121,197,42,0,360,0,1,0,0,1,13,8,1,0,22,2,3,0,0,5,4,1,0,0,5,6,9,5,0,20,1,2,0,0,3,7,8,0,0,15,0,3,1,0,4,4,4,5,0,13,190,259,57,1,507,2,1,1,0,4,4,0,0,0,4,1,1,0,0,2,1,1,0,0,2,6,9,0,0,15,33,62,45,0,140,0,3,0,0,3,1132,
6,Jones,Pope,0,0,1,1,0,2,2,3,0,0,5,99,204,45,0,348,1,1,1,0,3,5,4,0,0,9,4,2,1,0,7,6,7,0,0,13,12,26,12,0,50,9,7,1,0,17,4,4,1,0,9,2,6,4,0,12,3,8,7,0,18,179,281,54,1,515,2,2,1,0,5,5,2,0,0,7,1,0,0,0,1,0,1,2,0,3,3,7,1,0,11,85,137,98,1,321,1,3,1,0,5,1361,
7,Jones,Barron,0,0,1,1,0,2,1,0,2,0,3,90,165,29,0,284,0,1,0,0,1,8,7,2,0,17,1,0,0,0,1,0,3,0,0,3,5,10,10,0,25,3,5,3,0,11,2,3,1,0,6,1,2,0,0,3,2,10,1,0,13,163,187,61,0,411,1,2,0,0,3,1,3,0,0,4,0,1,0,0,1,0,0,2,0,2,4,5,2,0,11,55,86,77,0,218,2,0,1,0,3,1022,
8,Jones,Sanders,0,0,0,0,0,0,0,0,0,0,0,27,3,1,0,31,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,2,0,0,3,58,10,7,0,75,0,0,1,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,7,0,24,0,0,0,0,0,145,
9,Jones,Finney,0,1,1,1,0,3,1,2,0,0,3,204,274,68,1,547,2,1,1,0,4,7,12,2,0,21,1,0,1,0,2,11,6,2,0,19,9,17,17,0,43,7,5,3,0,15,4,5,3,0,12,5,7,5,0,17,7,11,5,0,23,322,386,128,0,836,3,6,0,0,9,6,4,1,0,11,0,0,0,0,0,0,0,3,0,3,8,12,0,0,20,69,192,147,0,408,0,2,4,0,6,2002,
