index,County,Precinct,Registered Voters,Lewis R. Lamb (I) (Ind)_Election Day Votes,Lewis R. Lamb (I) (Ind)_Advanced Voting Votes,Lewis R. Lamb (I) (Ind)_Absentee by Mail Votes,Lewis R. Lamb (I) (Ind)_Provisional Votes,Lewis R. Lamb (I) (Ind)_Choice Total,Total,
0,Lee,Chokee,475,97,90,58,0,245,245,
1,Lee,Redbone,4841,754,1846,385,3,2988,2988,
2,Lee,Smithville,998,169,295,69,0,533,533,
3,Lee,CJC,614,124,273,38,0,435,435,
4,Lee,Leesburg,3313,460,1240,227,1,1928,1928,
5,Lee,Friendship Baptist,1376,227,558,79,0,864,864,
6,Lee,First Baptist,3921,575,1651,409,1,2636,2636,
7,Lee,SDA Church,1576,297,615,133,0,1045,1045,
8,Lee,Flint Reformed Baptist,2621,377,976,180,0,1533,1533,
9,Lee,Century Fire Station,3162,407,1259,295,1,1962,1962,
