index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Lee,Chokee,475,85,82,18,0,185,35,39,76,0,150,3,1,1,0,5,340,
1,Lee,Redbone,4841,676,1752,268,2,2698,119,334,202,1,656,34,28,13,0,75,3429,
2,Lee,Smithville,998,113,241,41,0,395,95,93,56,0,244,3,4,3,0,10,649,
3,Lee,CJC,614,120,256,32,0,408,7,37,16,0,60,6,8,0,0,14,482,
4,Lee,Leesburg,3313,362,1027,136,1,1526,115,341,143,0,599,25,39,4,0,68,2193,
5,Lee,Friendship Baptist,1376,218,518,66,0,802,20,93,36,0,149,11,12,5,0,28,979,
6,Lee,First Baptist,3921,505,1388,251,0,2144,124,457,249,1,831,23,48,13,0,84,3059,
7,Lee,SDA Church,1576,268,547,99,0,914,48,145,78,0,271,11,15,2,0,28,1213,
8,Lee,Flint Reformed Baptist,2621,317,856,107,0,1280,88,231,103,0,422,15,27,6,0,48,1750,
9,Lee,Century Fire Station,3162,313,988,200,1,1502,124,410,169,0,703,17,28,10,0,55,2260,
