index,County,Precinct,Registered Voters,Linda Dixon Thompson (I) (Dem)_Election Day Votes,Linda Dixon Thompson (I) (Dem)_Advanced Voting Votes,Linda Dixon Thompson (I) (Dem)_Absentee by Mail Votes,Linda Dixon Thompson (I) (Dem)_Provisional Votes,Linda Dixon Thompson (I) (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,109,383,205,0,697,697,
1,Liberty,Lyman Hall School,4542,379,1168,654,0,2201,2201,
2,Liberty,Lewis Frasier School,4317,298,1469,703,0,2470,2470,
3,Liberty,Memorial Dr East,1976,147,498,304,0,949,949,
4,Liberty,Button Gwinnett,2304,127,202,121,0,450,450,
5,Liberty,Town of Allenhurst,2398,212,850,374,0,1436,1436,
6,Liberty,Hinesville,1984,135,563,276,0,974,974,
7,Liberty,Liberty County Complex,4379,266,1518,608,0,2392,2392,
8,Liberty,Walthourville,3016,220,963,387,0,1570,1570,
9,Liberty,Fleming West,505,57,153,98,0,308,308,
10,Liberty,Fleming East,3239,308,911,332,0,1551,1551,
11,Liberty,Gum Branch,3193,267,800,375,0,1442,1442,
12,Liberty,Hinesville Lodge 271,2646,243,731,406,0,1380,1380,
