index,County,Precinct,Registered Voters,Al Williams (I) (Dem)_Election Day Votes,Al Williams (I) (Dem)_Advanced Voting Votes,Al Williams (I) (Dem)_Absentee by Mail Votes,Al Williams (I) (Dem)_Provisional Votes,Al Williams (I) (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,109,389,213,0,711,711,
1,Liberty,Lyman Hall School,4542,372,1149,643,0,2164,2164,
2,Liberty,Lewis Frasier School,4317,298,1410,692,0,2400,2400,
3,Liberty,Memorial Dr East,1976,144,495,303,0,942,942,
4,Liberty,Town of Allenhurst,2398,212,832,377,0,1421,1421,
5,Liberty,Hinesville,1984,134,521,259,0,914,914,
6,Liberty,Liberty County Complex,4379,266,1458,602,0,2326,2326,
7,Liberty,Walthourville,3016,218,968,382,0,1568,1568,
8,Liberty,Fleming West,505,56,154,97,0,307,307,
9,Liberty,Fleming East,3239,295,838,308,0,1441,1441,
10,Liberty,Gum Branch,3193,253,768,370,0,1391,1391,
11,Liberty,Hinesville Lodge 271,2646,241,733,404,0,1378,1378,
