index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,86,289,155,0,530,31,117,46,0,194,724,
1,Liberty,Lyman Hall School,4542,322,952,504,0,1778,88,305,172,0,565,2343,
2,Liberty,Lewis Frasier School,4317,255,1228,571,0,2054,92,398,198,0,688,2742,
3,Liberty,Memorial Dr East,1976,134,407,246,0,787,24,132,78,0,234,1021,
4,Liberty,Button Gwinnett,2304,119,190,98,0,407,29,38,41,0,108,515,
5,Liberty,Town of Allenhurst,2398,186,678,284,0,1148,50,234,117,0,401,1549,
6,Liberty,Hinesville,1984,103,443,210,0,756,60,210,76,0,346,1102,
7,Liberty,Liberty County Complex,4379,256,1267,480,0,2003,83,557,188,0,828,2831,
8,Liberty,Walthourville,3016,183,802,292,0,1277,59,231,126,0,416,1693,
9,Liberty,Fleming West,505,46,119,77,0,242,14,51,30,0,95,337,
10,Liberty,Fleming East,3239,284,799,276,0,1359,139,424,124,0,687,2046,
11,Liberty,Gum Branch,3193,250,671,306,0,1227,107,250,95,0,452,1679,
12,Liberty,Hinesville Lodge 271,2646,199,614,319,0,1132,64,185,126,0,375,1507,
