index,County,Precinct,Registered Voters,"Earl L. """"Buddy"""" Carter (I) (Rep)_Election Day Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Advanced Voting Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Absentee by Mail Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Provisional Votes","Earl L. """"Buddy"""" Carter (I) (Rep)_Choice Total",Joyce Marie Griggs (Dem)_Election Day Votes,Joyce Marie Griggs (Dem)_Advanced Voting Votes,Joyce Marie Griggs (Dem)_Absentee by Mail Votes,Joyce Marie Griggs (Dem)_Provisional Votes,Joyce Marie Griggs (Dem)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,37,109,22,0,168,91,314,200,0,605,773,
1,Liberty,Lyman Hall School,4542,142,377,141,0,660,279,904,564,0,1747,2407,
2,Liberty,Lewis Frasier School,4317,163,688,228,0,1079,197,994,570,0,1761,2840,
3,Liberty,Memorial Dr East,1976,61,146,47,0,254,101,401,291,0,793,1047,
4,Liberty,Button Gwinnett,2304,76,94,39,0,209,77,141,101,0,319,528,
5,Liberty,Town of Allenhurst,2398,90,247,87,0,424,154,691,334,0,1179,1603,
6,Liberty,Hinesville,1984,83,350,114,0,547,81,321,200,0,602,1149,
7,Liberty,Liberty County Complex,4379,218,1011,189,0,1418,128,897,526,0,1551,2969,
8,Liberty,Walthourville,3016,96,280,90,0,466,155,786,353,0,1294,1760,
9,Liberty,Fleming West,505,27,52,19,0,98,40,119,90,0,249,347,
10,Liberty,Fleming East,3239,354,974,205,0,1533,83,314,210,0,607,2140,
11,Liberty,Gum Branch,3193,269,504,131,0,904,101,460,302,0,863,1767,
12,Liberty,Hinesville Lodge 271,2646,109,252,108,0,469,158,559,354,0,1071,1540,
