index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,30,108,21,0,159,101,319,198,0,618,2,6,2,0,10,787,
1,Liberty,Lyman Hall School,4542,126,343,112,0,581,268,915,556,0,1739,32,43,21,0,96,2416,
2,Liberty,Lewis Frasier School,4317,150,658,194,0,1002,204,1007,577,0,1788,12,31,22,0,65,2855,
3,Liberty,Memorial Dr East,1976,45,128,50,0,223,108,416,270,0,794,12,11,10,0,33,1050,
4,Liberty,Button Gwinnett,2304,76,90,37,0,203,72,134,90,0,296,10,14,16,0,40,539,
5,Liberty,Town of Allenhurst,2398,85,225,78,0,388,157,701,334,0,1192,9,19,11,0,39,1619,
6,Liberty,Hinesville,1984,77,339,99,0,515,86,328,190,0,604,9,15,15,0,39,1158,
7,Liberty,Liberty County Complex,4379,214,990,161,0,1365,132,926,526,0,1584,11,32,17,0,60,3009,
8,Liberty,Walthourville,3016,89,265,72,0,426,150,790,344,0,1284,20,20,15,0,55,1765,
9,Liberty,Fleming West,505,27,51,16,0,94,39,122,89,0,250,1,2,1,0,4,348,
10,Liberty,Fleming East,3239,347,954,192,0,1493,88,324,211,0,623,13,23,12,0,48,2164,
11,Liberty,Gum Branch,3193,261,486,113,0,860,102,459,294,0,855,15,27,15,0,57,1772,
12,Liberty,Hinesville Lodge 271,2646,97,229,93,0,419,161,564,343,0,1068,16,31,15,0,62,1549,
