index,County,Precinct,Registered Voters,Andrew Clyde (Rep)_Election Day Votes,Andrew Clyde (Rep)_Advanced Voting Votes,Andrew Clyde (Rep)_Absentee by Mail Votes,Andrew Clyde (Rep)_Provisional Votes,Andrew Clyde (Rep)_Choice Total,Devin Pandy (Dem)_Election Day Votes,Devin Pandy (Dem)_Advanced Voting Votes,Devin Pandy (Dem)_Absentee by Mail Votes,Devin Pandy (Dem)_Provisional Votes,Devin Pandy (Dem)_Choice Total,Total,
0,Madison,Colbert,3342,453,980,232,1,1666,149,303,223,0,675,2341,
1,Madison,Collins,647,194,163,44,0,401,11,27,23,0,61,462,
2,Madison,Comer,1441,234,363,96,0,693,92,126,141,0,359,1052,
3,Madison,Danielsville,3003,289,1189,291,0,1769,47,158,124,0,329,2098,
4,Madison,Fork,566,165,79,24,0,268,28,56,42,0,126,394,
5,Madison,Harrison,610,239,142,59,0,440,9,22,6,0,37,477,
6,Madison,Hull,4376,540,1060,351,0,1951,208,436,301,1,946,2897,
7,Madison,Ila,1746,298,539,160,0,997,37,54,66,0,157,1154,
8,Madison,Mill,1646,324,594,132,1,1051,32,67,66,0,165,1216,
9,Madison,Paoli,267,99,65,24,0,188,10,6,10,0,26,214,
10,Madison,Pittman,1949,366,563,220,0,1149,67,104,103,0,274,1423,
11,Madison,Poca,1127,281,307,103,0,691,28,47,47,0,122,813,
