index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Madison,Colbert,3342,2,2,3,0,7,1,2,3,0,6,221,512,110,1,844,2,4,3,0,9,9,12,5,0,26,1,1,1,0,3,4,11,0,0,15,23,57,24,0,104,5,12,11,0,28,3,8,2,0,13,8,12,7,0,27,10,25,11,0,46,198,418,109,0,725,9,4,4,0,17,8,3,4,0,15,1,0,0,0,1,3,2,1,0,6,7,9,1,0,17,92,200,155,0,447,3,4,0,0,7,2363,
1,Madison,Collins,647,3,0,0,0,3,0,0,0,0,0,88,84,22,0,194,0,0,1,0,1,2,5,0,0,7,0,0,0,0,0,2,1,1,0,4,1,3,2,0,6,0,0,0,0,0,1,2,0,0,3,0,0,1,0,1,0,3,1,0,4,95,69,22,0,186,0,1,0,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,1,0,6,12,17,16,0,45,0,2,0,0,2,466,
2,Madison,Comer,1441,3,0,1,0,4,1,0,1,0,2,102,201,47,0,350,0,0,0,0,0,4,5,4,0,13,1,2,0,0,3,2,1,4,0,7,16,17,4,0,37,4,9,2,0,15,6,3,0,0,9,7,4,7,0,18,7,11,3,0,21,101,151,38,0,290,1,2,1,0,4,5,0,1,0,6,1,1,1,0,3,0,0,0,0,0,6,3,2,0,11,62,84,120,0,266,1,3,3,0,7,1066,
3,Madison,Danielsville,3003,1,1,1,0,3,5,3,0,0,8,142,655,164,0,961,4,0,0,0,4,6,16,3,0,25,4,4,1,0,9,7,10,2,0,19,7,22,19,0,48,2,3,1,0,6,3,11,6,0,20,2,2,3,0,7,6,18,8,0,32,109,466,109,0,684,3,2,4,0,9,6,2,1,0,9,0,4,1,0,5,2,0,2,0,4,6,18,1,0,25,22,121,92,0,235,0,0,2,0,2,2115,
4,Madison,Fork,566,1,0,1,0,2,1,1,0,0,2,80,41,11,0,132,0,1,1,0,2,7,1,1,0,9,1,0,0,0,1,1,1,0,0,2,4,6,5,0,15,2,0,0,0,2,4,1,0,0,5,4,1,2,0,7,3,4,8,0,15,68,32,12,0,112,0,2,0,0,2,2,3,0,0,5,0,1,0,0,1,0,0,0,0,0,1,2,0,0,3,15,42,25,0,82,0,0,2,0,2,401,
5,Madison,Harrison,610,1,2,1,0,4,0,1,0,0,1,141,88,42,0,271,1,0,1,0,2,7,0,0,0,7,1,0,0,0,1,3,1,0,0,4,1,4,0,0,5,0,2,0,0,2,3,4,0,0,7,0,1,0,0,1,3,2,0,0,5,77,42,16,0,135,0,1,1,0,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,4,11,4,0,19,1,0,0,0,1,474,
6,Madison,Hull,4376,4,3,2,0,9,3,0,6,0,9,215,511,181,0,907,2,1,4,0,7,10,19,2,0,31,3,6,2,0,11,13,7,2,0,22,42,54,34,0,130,13,8,5,0,26,9,7,6,0,22,8,16,9,0,33,17,27,12,0,56,267,496,159,1,923,3,10,5,0,18,8,10,2,0,20,4,1,0,0,5,2,5,4,0,11,7,9,2,0,18,121,318,208,1,648,7,11,5,0,23,2929,
7,Madison,Ila,1746,0,0,0,0,0,2,1,0,0,3,157,283,80,0,520,2,0,1,0,3,5,6,1,0,12,1,2,0,0,3,5,4,2,0,11,5,3,4,0,12,0,4,1,0,5,4,5,1,0,10,1,2,1,0,4,3,4,8,0,15,123,215,75,0,413,0,1,0,0,1,2,9,1,0,12,3,0,2,0,5,0,0,0,0,0,2,8,0,0,10,25,50,49,0,124,1,0,1,0,2,1165,
8,Madison,Mill,1646,1,1,1,0,3,2,0,0,0,2,170,341,81,0,592,1,2,0,0,3,5,8,0,0,13,2,0,1,0,3,5,6,2,0,13,7,10,5,0,22,1,0,1,0,2,4,9,1,0,14,2,1,0,0,3,3,13,9,0,25,136,220,49,1,406,0,0,1,0,1,3,1,0,0,4,1,2,0,0,3,0,1,2,0,3,2,6,0,0,8,16,42,46,0,104,0,1,3,0,4,1228,
9,Madison,Paoli,267,0,0,0,0,0,0,0,1,0,1,52,41,12,0,105,0,0,0,0,0,1,2,1,0,4,0,2,0,0,2,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,1,0,3,0,0,1,0,1,2,1,0,0,3,45,21,8,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,10,0,22,0,0,0,0,0,218,
