index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Meriwether,Chalybeate,451,173,107,27,0,307,16,8,24,0,48,2,1,0,0,3,358,
1,Meriwether,Gill I,1662,284,338,139,0,761,149,131,141,1,422,4,1,4,0,9,1192,
2,Meriwether,Gill II,1000,38,78,30,0,146,152,160,207,0,519,1,2,2,0,5,670,
3,Meriwether,Odessadale,296,35,81,22,0,138,32,19,41,1,93,0,0,0,0,0,231,
4,Meriwether,Greenville,2009,109,457,110,0,676,105,360,201,1,667,1,4,2,0,7,1350,
5,Meriwether,Lone Oak,1263,160,273,59,0,492,89,149,171,0,409,4,5,2,0,11,912,
6,Meriwether,Luthersville,2760,396,626,164,0,1186,169,278,240,0,687,0,3,2,0,5,1878,
7,Meriwether,Alvaton,1528,251,359,112,1,723,118,123,134,2,377,3,2,1,0,6,1106,
8,Meriwether,Gay,411,82,107,28,0,217,20,17,38,0,75,5,0,0,0,5,297,
9,Meriwether,Woodbury,1363,157,267,89,0,513,174,149,136,0,459,0,0,1,0,1,973,
10,Meriwether,Warm Springs,1161,178,282,85,1,546,102,112,65,0,279,2,3,2,0,7,832,
11,Meriwether,Durand,730,163,145,49,0,357,42,71,60,0,173,1,1,0,0,2,532,
12,Meriwether,Raleigh,501,113,162,36,0,311,16,27,25,0,68,2,2,0,0,4,383,
13,Meriwether,Cove,202,91,30,30,0,151,5,0,6,0,11,0,0,1,0,1,163,
