index,County,Precinct,Registered Voters,William Irving Nash (I)_Election Day Votes,William Irving Nash (I)_Advanced Voting Votes,William Irving Nash (I)_Absentee by Mail Votes,William Irving Nash (I)_Provisional Votes,William Irving Nash (I)_Choice Total,Total,
0,Meriwether,Chalybeate,451,157,95,50,0,302,302,
1,Meriwether,Gill I,1662,344,381,230,1,956,956,
2,Meriwether,Gill II,1000,113,160,144,0,417,417,
3,Meriwether,Odessadale,296,54,83,55,1,193,193,
4,Meriwether,Greenville,2009,151,597,245,0,993,993,
5,Meriwether,Lone Oak,1263,191,312,170,0,673,673,
6,Meriwether,Luthersville,2760,443,723,279,0,1445,1445,
7,Meriwether,Alvaton,1528,294,367,184,3,848,848,
8,Meriwether,Gay,411,93,102,47,0,242,242,
9,Meriwether,Woodbury,1363,240,312,165,0,717,717,
10,Meriwether,Warm Springs,1161,216,294,123,1,634,634,
11,Meriwether,Durand,730,151,156,80,0,387,387,
12,Meriwether,Raleigh,501,110,154,42,0,306,306,
13,Meriwether,Cove,202,84,25,32,0,141,141,
