index,County,Precinct,Registered Voters,Emory P. (Bubba) Lamb (Dem)_Election Day Votes,Emory P. (Bubba) Lamb (Dem)_Advanced Voting Votes,Emory P. (Bubba) Lamb (Dem)_Absentee by Mail Votes,Emory P. (Bubba) Lamb (Dem)_Provisional Votes,Emory P. (Bubba) Lamb (Dem)_Choice Total,Total,
0,Mitchell,Baconton,1129,212,265,132,0,609,609,
1,Mitchell,Branchville,599,155,183,51,0,389,389,
2,Mitchell,Camilla North,1996,208,539,380,0,1127,1127,
3,Mitchell,Camilla South,3475,256,1288,582,3,2129,2129,
4,Mitchell,Cotton,399,168,67,38,0,273,273,
5,Mitchell,Hopeful,350,89,83,33,2,207,207,
6,Mitchell,Hinsonton,134,69,21,9,0,99,99,
7,Mitchell,Lester,1357,228,268,155,1,652,652,
8,Mitchell,Pebble City,162,65,30,12,0,107,107,
9,Mitchell,Pelham,3489,411,925,533,1,1870,1870,
10,Mitchell,Sale City,384,128,61,32,0,221,221,
