index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Mitchell,Baconton,1129,156,205,39,0,400,98,124,109,0,331,6,2,0,0,8,739,
1,Mitchell,Branchville,599,172,186,27,0,385,11,42,29,0,82,2,1,0,0,3,470,
2,Mitchell,Camilla North,1996,42,178,28,0,248,194,420,386,0,1000,1,0,1,0,2,1250,
3,Mitchell,Camilla South,3475,114,871,212,0,1197,174,573,421,3,1171,2,2,3,0,7,2375,
4,Mitchell,Cotton,399,181,72,35,0,288,13,6,9,0,28,0,0,0,0,0,316,
5,Mitchell,Hopeful,350,96,91,24,2,213,14,11,15,0,40,0,0,0,0,0,253,
6,Mitchell,Hinsonton,134,79,17,3,0,99,1,4,8,0,13,0,0,0,0,0,112,
7,Mitchell,Lester,1357,278,330,96,0,704,32,50,83,1,166,2,0,0,0,2,872,
8,Mitchell,Pebble City,162,66,24,17,0,107,8,10,3,0,21,1,0,0,0,1,129,
9,Mitchell,Pelham,3489,224,679,177,0,1080,252,410,417,1,1080,3,2,5,0,10,2170,
10,Mitchell,Sale City,384,143,48,23,0,214,21,23,19,0,63,0,0,0,0,0,277,
