index,County,Precinct,Registered Voters,Joey Proctor (I) (Rep)_Election Day Votes,Joey Proctor (I) (Rep)_Advanced Voting Votes,Joey Proctor (I) (Rep)_Absentee by Mail Votes,Joey Proctor (I) (Rep)_Provisional Votes,Joey Proctor (I) (Rep)_Choice Total,Total,
0,Monroe,Bentons,2297,364,1029,237,1,1631,1631,
1,Monroe,Brantleys,1123,231,557,70,0,858,858,
2,Monroe,Burgays,2268,451,1005,225,4,1685,1685,
3,Monroe,Cabaniss,800,204,237,44,1,486,486,
4,Monroe,Cox,718,161,299,46,0,506,506,
5,Monroe,Culloden,454,133,90,45,1,269,269,
6,Monroe,Dillards,996,166,409,55,0,630,630,
7,Monroe,Evers,2127,309,979,161,0,1449,1449,
8,Monroe,Forsyth,4640,327,1529,429,0,2285,2285,
9,Monroe,High Falls,1994,367,654,148,1,1170,1170,
10,Monroe,Kelseys,722,143,217,66,0,426,426,
11,Monroe,Middlebrooks,1319,226,583,85,0,894,894,
12,Monroe,Proctors,1214,257,364,78,0,699,699,
13,Monroe,Russellville,466,145,136,24,0,305,305,
