index,County,Precinct,Registered Voters,Jonathan L. Adams (I) (Rep)_Election Day Votes,Jonathan L. Adams (I) (Rep)_Advanced Voting Votes,Jonathan L. Adams (I) (Rep)_Absentee by Mail Votes,Jonathan L. Adams (I) (Rep)_Provisional Votes,Jonathan L. Adams (I) (Rep)_Choice Total,Total,
0,Monroe,Bentons,2297,357,1022,234,1,1614,1614,
1,Monroe,Brantleys,1123,233,555,67,0,855,855,
2,Monroe,Burgays,2268,451,998,220,4,1673,1673,
3,Monroe,Cabaniss,800,205,226,44,1,476,476,
4,Monroe,Cox,718,159,295,44,0,498,498,
5,Monroe,Culloden,454,136,90,44,0,270,270,
6,Monroe,Dillards,996,161,405,54,0,620,620,
7,Monroe,Evers,2127,304,969,166,0,1439,1439,
8,Monroe,Forsyth,4640,312,1468,404,0,2184,2184,
9,Monroe,High Falls,1994,361,645,138,1,1145,1145,
10,Monroe,Kelseys,722,141,205,64,0,410,410,
11,Monroe,Middlebrooks,1319,221,582,87,0,890,890,
12,Monroe,Proctors,1214,256,355,75,0,686,686,
13,Monroe,Russellville,466,146,134,22,0,302,302,
