index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Monroe,Bentons,2297,325,928,178,1,1432,39,180,126,0,345,18,20,3,0,41,1818,
1,Monroe,Brantleys,1123,224,507,57,0,788,7,70,31,0,108,6,12,1,0,19,915,
2,Monroe,Burgays,2268,421,911,187,3,1522,35,176,92,1,304,14,22,7,0,43,1869,
3,Monroe,Cabaniss,800,180,181,30,1,392,42,70,31,0,143,12,6,0,0,18,553,
4,Monroe,Cox,718,134,266,19,0,419,26,49,40,0,115,5,7,4,0,16,550,
5,Monroe,Culloden,454,106,69,31,0,206,40,30,25,1,96,2,4,2,0,8,310,
6,Monroe,Dillards,996,138,360,36,0,534,25,65,32,0,122,7,7,2,0,16,672,
7,Monroe,Evers,2127,263,854,123,0,1240,45,163,78,0,286,18,25,6,0,49,1575,
8,Monroe,Forsyth,4640,195,947,142,0,1284,183,877,559,0,1619,20,35,14,0,69,2972,
9,Monroe,High Falls,1994,322,583,105,1,1011,38,94,63,0,195,15,12,6,0,33,1239,
10,Monroe,Kelseys,722,115,151,28,0,294,36,119,77,0,232,2,2,3,0,7,533,
11,Monroe,Middlebrooks,1319,194,516,57,0,767,29,89,38,0,156,11,21,5,0,37,960,
12,Monroe,Proctors,1214,213,312,56,0,581,50,85,41,0,176,10,12,2,0,24,781,
13,Monroe,Russellville,466,127,128,15,0,270,20,14,15,0,49,5,0,0,0,5,324,
