index,County,Precinct,Registered Voters,"Charles R. Van Hoy, Jr._Election Day Votes","Charles R. Van Hoy, Jr._Advanced Voting Votes","Charles R. Van Hoy, Jr._Absentee by Mail Votes","Charles R. Van Hoy, Jr._Provisional Votes","Charles R. Van Hoy, Jr._Choice Total",Total,
0,Monroe,Bentons,2297,332,964,230,1,1527,1527,
1,Monroe,Brantleys,1123,227,520,66,0,813,813,
2,Monroe,Burgays,2268,410,934,222,4,1570,1570,
3,Monroe,Cabaniss,800,187,214,44,1,446,446,
4,Monroe,Cox,718,155,286,49,0,490,490,
5,Monroe,Culloden,454,130,90,47,1,268,268,
6,Monroe,Dillards,996,156,380,52,0,588,588,
7,Monroe,Evers,2127,277,915,158,0,1350,1350,
8,Monroe,Forsyth,4640,314,1487,432,0,2233,2233,
9,Monroe,High Falls,1994,347,609,145,1,1102,1102,
10,Monroe,Kelseys,722,133,204,69,0,406,406,
11,Monroe,Middlebrooks,1319,204,567,86,0,857,857,
12,Monroe,Proctors,1214,241,341,78,0,660,660,
13,Monroe,Russellville,466,133,127,23,0,283,283,
