index,County,Precinct,Registered Voters,Marc D'Antonio (I) (Dem)_Election Day Votes,Marc D'Antonio (I) (Dem)_Advanced Voting Votes,Marc D'Antonio (I) (Dem)_Absentee by Mail Votes,Marc D'Antonio (I) (Dem)_Provisional Votes,Marc D'Antonio (I) (Dem)_Choice Total,Total,
0,Muscogee,Wynnton/Britt,5289,407,1352,818,0,2577,2577,
1,Muscogee,Carver/Mack,4374,267,1145,817,0,2229,2229,
2,Muscogee,St John/Belvedere,5341,298,1743,1156,2,3199,3199,
3,Muscogee,Britt David,2747,331,676,319,0,1326,1326,
4,Muscogee,St Peter,3265,367,853,456,1,1677,1677,
5,Muscogee,Cornerstone,6684,627,1823,864,1,3315,3315,
6,Muscogee,Columbus Tech,4464,391,786,419,0,1596,1596,
7,Muscogee,St Mark/Heiferhorn,6492,494,2052,990,9,3545,3545,
8,Muscogee,Wynnbrook,2692,220,805,538,0,1563,1563,
9,Muscogee,Cusseta Rd,6169,555,1227,847,3,2632,2632,
10,Muscogee,Our Lady of Lourdes,10204,726,1837,1357,3,3923,3923,
11,Muscogee,Mt Pilgrim,6022,457,1901,1161,1,3520,3520,
12,Muscogee,Faith Tabernacle,4461,377,1431,856,0,2664,2664,
13,Muscogee,Canaan,7078,487,1938,1167,0,3592,3592,
14,Muscogee,Holsey/Buena Vista,7613,507,2353,1297,0,4157,4157,
15,Muscogee,Gentian/Reese,5612,496,1499,801,0,2796,2796,
16,Muscogee,St Paul/Clubview,5677,461,1752,870,0,3083,3083,
17,Muscogee,Moon/Morningside,5415,537,1406,769,1,2713,2713,
18,Muscogee,St Andrews/Midland,7959,738,2327,1276,0,4341,4341,
19,Muscogee,Salvation Army,3192,330,891,446,0,1667,1667,
20,Muscogee,First African,1955,134,361,276,4,775,775,
21,Muscogee,Epworth UMC,4512,413,919,526,0,1858,1858,
22,Muscogee,Marianna Gallops,3095,249,595,361,5,1210,1210,
23,Muscogee,Edgewood Baptist,3235,268,926,500,4,1698,1698,
24,Muscogee,Psalmond/Mathews,7331,470,2543,1284,1,4298,4298,
