index,County,Precinct,Registered Voters,Ed Harbison (I) (Dem)_Election Day Votes,Ed Harbison (I) (Dem)_Advanced Voting Votes,Ed Harbison (I) (Dem)_Absentee by Mail Votes,Ed Harbison (I) (Dem)_Provisional Votes,Ed Harbison (I) (Dem)_Choice Total,Total,
0,Muscogee,Wynnton/Britt,5289,401,1309,856,0,2566,2566,
1,Muscogee,Carver/Mack,4374,261,1140,849,0,2250,2250,
2,Muscogee,St John/Belvedere,5341,293,1720,1167,2,3182,3182,
3,Muscogee,Columbus Tech,4464,158,309,175,0,642,642,
4,Muscogee,Cusseta Rd,6169,545,1221,865,3,2634,2634,
5,Muscogee,Our Lady of Lourdes,10204,702,1771,1387,5,3865,3865,
6,Muscogee,Mt Pilgrim,6022,452,1874,1181,1,3508,3508,
7,Muscogee,Faith Tabernacle,4461,371,1412,882,0,2665,2665,
8,Muscogee,Canaan,7078,474,1908,1188,0,3570,3570,
9,Muscogee,Holsey/Buena Vista,7613,491,2329,1341,0,4161,4161,
10,Muscogee,St Paul/Clubview,5677,324,1324,680,0,2328,2328,
11,Muscogee,First African,1955,129,335,281,4,749,749,
12,Muscogee,Epworth UMC,4512,191,490,336,0,1017,1017,
13,Muscogee,Marianna Gallops,3095,239,571,368,5,1183,1183,
14,Muscogee,Edgewood Baptist,3235,252,910,504,3,1669,1669,
