index,County,Precinct,Registered Voters,Dave Belton (I) (Rep)_Election Day Votes,Dave Belton (I) (Rep)_Advanced Voting Votes,Dave Belton (I) (Rep)_Absentee by Mail Votes,Dave Belton (I) (Rep)_Provisional Votes,Dave Belton (I) (Rep)_Choice Total,Total,
0,Newton,City Pond,1833,247,223,177,0,647,647,
1,Newton,Alcovy,4620,729,1010,614,1,2354,2354,
2,Newton,Covington Mills,3111,403,394,303,0,1100,1100,
3,Newton,Brewers,3538,974,435,249,1,1659,1659,
4,Newton,Brick Store,2623,827,501,356,0,1684,1684,
5,Newton,Gum Creek,4135,1019,960,625,1,2605,2605,
6,Newton,Leguinn,2177,781,343,253,2,1379,1379,
7,Newton,Mansfield,1524,805,174,148,0,1127,1127,
8,Newton,Newborn,784,412,64,64,0,540,540,
9,Newton,Oxford,2418,612,445,361,0,1418,1418,
10,Newton,Hub,2374,918,486,343,1,1748,1748,
