index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Newton,City Pond,1833,172,140,86,0,398,193,187,242,0,622,6,9,16,0,31,1051,
1,Newton,Town,4378,200,230,174,0,604,524,620,741,1,1886,21,13,28,0,62,2552,
2,Newton,Almon,5009,263,279,183,0,725,517,1246,906,2,2671,24,20,18,1,63,3459,
3,Newton,Alcovy,4620,573,700,415,1,1689,304,748,550,2,1604,31,22,15,0,68,3361,
4,Newton,Covington Mills,3111,353,343,240,1,937,277,437,344,0,1058,25,5,19,0,49,2044,
5,Newton,Brewers,3538,1086,467,256,2,1811,210,218,237,1,666,23,11,13,1,48,2525,
6,Newton,Brick Store,2623,740,422,255,0,1417,155,199,211,0,565,20,13,12,0,45,2027,
7,Newton,Cedar Shoals,2838,355,219,151,0,725,275,361,329,1,966,29,17,16,0,62,1753,
8,Newton,Livingston,4593,320,318,170,3,811,428,922,699,2,2051,26,17,35,0,78,2940,
9,Newton,Downs,6215,741,856,311,1,1909,486,1040,799,0,2325,45,38,32,0,115,4349,
10,Newton,Gum Creek,4135,921,802,514,1,2238,168,391,347,0,906,14,19,11,0,44,3188,
11,Newton,Beaverdam,5428,210,299,161,0,670,598,1357,885,3,2843,22,26,21,0,69,3582,
12,Newton,Leguinn,2177,701,296,203,2,1202,120,112,156,0,388,24,5,8,1,38,1628,
13,Newton,Mansfield,1524,773,167,128,0,1068,57,23,60,0,140,6,1,7,0,14,1222,
14,Newton,Newborn,784,380,59,52,0,491,58,14,40,0,112,9,2,0,0,11,614,
15,Newton,Oxford,2418,535,377,277,0,1189,154,157,254,1,566,20,10,6,0,36,1791,
16,Newton,Rocky Plains,3658,570,488,214,1,1273,281,452,353,1,1087,28,16,13,0,57,2417,
17,Newton,Buck Creek,4839,505,568,275,1,1349,419,703,681,1,1804,39,23,13,0,75,3228,
18,Newton,Stansells,4969,240,304,205,0,749,507,1146,751,0,2404,18,11,23,0,52,3205,
19,Newton,Fairview,2953,68,94,60,2,224,385,668,490,1,1544,15,11,6,0,32,1800,
20,Newton,Crowell,4977,117,161,92,0,370,554,1300,840,1,2695,16,26,19,0,61,3126,
21,Newton,Hub,2374,849,419,291,0,1559,89,118,110,0,317,20,10,9,1,40,1916,
