index,County,Precinct,Registered Voters,Jacob Douylliez (Dem)_Election Day Votes,Jacob Douylliez (Dem)_Advanced Voting Votes,Jacob Douylliez (Dem)_Absentee by Mail Votes,Jacob Douylliez (Dem)_Provisional Votes,Jacob Douylliez (Dem)_Choice Total,Amrey Harden (Rep)_Election Day Votes,Amrey Harden (Rep)_Advanced Voting Votes,Amrey Harden (Rep)_Absentee by Mail Votes,Amrey Harden (Rep)_Provisional Votes,Amrey Harden (Rep)_Choice Total,Aaron W. Nowak (Rep)_Election Day Votes,Aaron W. Nowak (Rep)_Advanced Voting Votes,Aaron W. Nowak (Rep)_Absentee by Mail Votes,Aaron W. Nowak (Rep)_Provisional Votes,Aaron W. Nowak (Rep)_Choice Total,Total,
0,Oconee,City Hall,3910,88,619,305,0,1012,180,1042,342,0,1564,91,405,67,0,563,3139,
1,Oconee,Colham Ferry,1847,29,213,126,0,368,136,600,171,0,907,51,189,39,1,280,1555,
2,Oconee,Antioch,1397,27,95,81,0,203,192,460,139,0,791,37,84,16,0,137,1131,
3,Oconee,Farmington,737,16,69,55,0,140,99,171,43,0,313,47,71,9,0,127,580,
4,Oconee,Bishop,1938,45,216,147,1,409,134,531,129,1,795,71,247,43,0,361,1565,
5,Oconee,High Shoals,1939,31,225,110,0,366,139,631,135,0,905,73,239,41,0,353,1624,
6,Oconee,North Oconee,1244,19,128,70,0,217,103,340,91,0,534,59,167,40,0,266,1017,
7,Oconee,Dark Corner,3541,57,309,170,1,537,266,1060,279,0,1605,147,532,71,0,750,2892,
8,Oconee,Bogart,2384,72,241,152,0,465,220,543,179,0,942,80,282,46,0,408,1815,
9,Oconee,Marswood Hall,4091,62,462,395,0,919,152,1032,438,0,1622,119,539,161,0,819,3360,
10,Oconee,East Oconee,2647,64,344,273,0,681,77,703,209,0,989,41,271,55,0,367,2037,
11,Oconee,Civic Center,4396,76,579,399,0,1054,161,1237,397,0,1795,115,452,100,0,667,3516,
