index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Oconee,City Hall,3910,246,1343,338,0,1927,89,735,381,0,1205,28,53,9,0,90,3222,
1,Oconee,Colham Ferry,1847,178,765,175,0,1118,34,254,162,0,450,12,17,7,1,37,1605,
2,Oconee,Antioch,1397,214,533,131,0,878,39,117,102,0,258,12,7,7,0,26,1162,
3,Oconee,Farmington,737,141,236,44,0,421,22,80,60,0,162,4,6,3,0,13,596,
4,Oconee,Bishop,1938,201,765,159,1,1126,48,249,165,1,463,15,19,5,0,39,1628,
5,Oconee,High Shoals,1939,200,845,168,0,1213,39,265,124,0,428,12,27,5,0,44,1685,
6,Oconee,North Oconee,1244,167,520,123,0,810,18,147,74,0,239,8,8,5,0,21,1070,
7,Oconee,Dark Corner,3541,425,1598,328,0,2351,55,359,198,1,613,16,25,7,0,48,3012,
8,Oconee,Bogart,2384,289,812,207,0,1308,81,273,167,0,521,17,25,13,0,55,1884,
9,Oconee,Marswood Hall,4091,259,1534,524,1,2318,78,544,479,0,1101,13,38,21,0,72,3491,
10,Oconee,East Oconee,2647,119,937,227,0,1283,70,407,322,0,799,8,22,7,0,37,2119,
11,Oconee,Civic Center,4396,279,1626,450,0,2355,85,678,463,0,1226,13,56,18,0,87,3668,
