index,County,Precinct,Registered Voters,Angela Woodall (Rep)_Election Day Votes,Angela Woodall (Rep)_Advanced Voting Votes,Angela Woodall (Rep)_Absentee by Mail Votes,Angela Woodall (Rep)_Provisional Votes,Angela Woodall (Rep)_Choice Total,Total,
0,Paulding,Burnt Hickory Park,6242,698,3018,717,5,4438,4438,
1,Paulding,Crossroads Library,3662,367,1668,524,1,2560,2560,
2,Paulding,Shelton Elementary,5095,565,1969,585,3,3122,3122,
3,Paulding,Russom Elementary,8243,836,3249,1328,6,5419,5419,
4,Paulding,Paulding Sr Center,5972,613,2183,614,6,3416,3416,
5,Paulding,Legacy Bapt Church,4443,396,1346,628,4,2374,2374,
6,Paulding,Watson Govt Cmplx,10774,890,3442,1206,10,5548,5548,
7,Paulding,West Ridge Church,11546,1231,4223,1552,4,7010,7010,
8,Paulding,Events Place,4923,371,1254,552,3,2180,2180,
9,Paulding,Poplar Sprgs Bapt Church,4825,397,1368,498,0,2263,2263,
10,Paulding,D Wright Innovation Ctr,7137,637,2700,598,2,3937,3937,
11,Paulding,Nebo Elem School,10070,1263,3692,1013,5,5973,5973,
12,Paulding,White Oak Park,5833,636,1982,612,8,3238,3238,
13,Paulding,Mulberry Rock Park,5911,777,2498,683,5,3963,3963,
14,Paulding,Beulahland Baptist Church,2547,410,997,233,3,1643,1643,
15,Paulding,Paulding County Airport,4132,620,1485,418,5,2528,2528,
16,Paulding,Picketts Mill Baptist Church,2748,348,1097,361,1,1807,1807,
17,Paulding,Taylor Farm Park,2761,233,950,350,0,1533,1533,
18,Paulding,Dobbins Middle School,8081,593,2714,844,2,4153,4153,
