index,County,Precinct,Registered Voters,Alan Morris (I) (Rep)_Election Day Votes,Alan Morris (I) (Rep)_Advanced Voting Votes,Alan Morris (I) (Rep)_Absentee by Mail Votes,Alan Morris (I) (Rep)_Provisional Votes,Alan Morris (I) (Rep)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,834,1032,383,0,2249,2249,
1,Pickens,Sharptop,2616,605,753,384,0,1742,1742,
2,Pickens,Appalachian,1933,425,635,173,0,1233,1233,
3,Pickens,Refuge,2490,577,795,210,0,1582,1582,
4,Pickens,Hill,2042,557,614,186,2,1359,1359,
5,Pickens,Hinton,825,314,150,34,0,498,498,
6,Pickens,Jerusalem,1145,501,203,74,0,778,778,
7,Pickens,Ludville,721,308,98,35,0,441,441,
8,Pickens,Nelson,1474,434,378,105,0,917,917,
9,Pickens,Talking Rock,1781,463,489,151,3,1106,1106,
10,Pickens,Jasper,2517,495,689,199,1,1384,1384,
11,Pickens,Tate,2651,678,821,221,1,1721,1721,
