index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Pickens,Yellow Creek,3571,688,949,506,0,2143,175,176,41,0,392,2535,
1,Pickens,Sharptop,2616,536,655,469,0,1660,116,145,47,0,308,1968,
2,Pickens,Appalachian,1933,344,502,203,0,1049,89,162,23,0,274,1323,
3,Pickens,Refuge,2490,455,665,209,0,1329,124,165,33,0,322,1651,
4,Pickens,Hill,2042,446,500,217,2,1165,116,141,21,0,278,1443,
5,Pickens,Hinton,825,251,119,37,0,407,72,39,5,0,116,523,
6,Pickens,Jerusalem,1145,377,166,66,0,609,117,43,22,0,182,791,
7,Pickens,Ludville,721,260,74,32,0,366,57,28,8,0,93,459,
8,Pickens,Nelson,1474,351,310,122,0,783,87,79,19,0,185,968,
9,Pickens,Talking Rock,1781,361,396,143,3,903,110,117,28,0,255,1158,
10,Pickens,Jasper,2517,397,563,212,0,1172,112,148,43,1,304,1476,
11,Pickens,Tate,2651,532,651,227,1,1411,155,185,32,0,372,1783,
