index,County,Precinct,Registered Voters,"Kristopher """"Kris"""" Stancil (Rep)_Election Day Votes","Kristopher """"Kris"""" Stancil (Rep)_Advanced Voting Votes","Kristopher """"Kris"""" Stancil (Rep)_Absentee by Mail Votes","Kristopher """"Kris"""" Stancil (Rep)_Provisional Votes","Kristopher """"Kris"""" Stancil (Rep)_Choice Total",David Shouse (Ind)_Election Day Votes,David Shouse (Ind)_Advanced Voting Votes,David Shouse (Ind)_Absentee by Mail Votes,David Shouse (Ind)_Provisional Votes,David Shouse (Ind)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,634,902,340,0,1876,251,217,178,0,646,2522,
1,Pickens,Sharptop,2616,503,618,336,0,1457,157,201,171,0,529,1986,
2,Pickens,Appalachian,1933,327,490,142,0,959,123,185,77,0,385,1344,
3,Pickens,Refuge,2490,438,622,182,0,1242,174,226,64,0,464,1706,
4,Pickens,Hill,2042,410,500,153,1,1064,177,165,75,1,418,1482,
5,Pickens,Hinton,825,245,113,30,0,388,95,52,9,0,156,544,
6,Pickens,Jerusalem,1145,365,173,60,0,598,154,43,33,0,230,828,
7,Pickens,Ludville,721,238,60,28,0,326,85,44,13,0,142,468,
8,Pickens,Nelson,1474,318,298,82,0,698,133,106,51,0,290,988,
9,Pickens,Talking Rock,1781,354,393,131,2,880,133,127,44,1,305,1185,
10,Pickens,Jasper,2517,375,523,164,1,1063,160,222,85,0,467,1530,
11,Pickens,Tate,2651,536,650,193,0,1379,182,220,70,1,473,1852,
