index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,766,957,325,0,2048,87,171,208,0,466,28,28,28,0,84,2598,
1,Pickens,Sharptop,2616,564,677,314,1,1556,69,122,207,0,398,29,22,18,0,69,2023,
2,Pickens,Appalachian,1933,372,568,158,0,1098,44,92,69,0,205,20,23,7,0,50,1353,
3,Pickens,Refuge,2490,538,729,168,0,1435,41,97,80,0,218,22,23,8,0,53,1706,
4,Pickens,Hill,2042,507,558,159,2,1226,41,82,73,0,196,38,23,11,0,72,1494,
5,Pickens,Hinton,825,301,141,32,0,474,21,17,13,0,51,10,4,1,0,15,540,
6,Pickens,Jerusalem,1145,479,194,55,0,728,27,22,36,0,85,8,3,3,0,14,827,
7,Pickens,Ludville,721,288,87,29,0,404,20,10,12,0,42,16,4,1,0,21,467,
8,Pickens,Nelson,1474,400,349,86,0,835,35,51,49,0,135,20,11,9,0,40,1010,
9,Pickens,Talking Rock,1781,448,452,135,3,1038,21,52,38,0,111,13,21,3,0,37,1186,
10,Pickens,Jasper,2517,427,594,152,1,1174,81,121,98,0,300,24,29,10,0,63,1537,
11,Pickens,Tate,2651,639,768,179,1,1587,46,76,72,0,194,30,26,10,0,66,1847,
