index,County,Precinct,Registered Voters,Daniel Reeves (Rep)_Election Day Votes,Daniel Reeves (Rep)_Advanced Voting Votes,Daniel Reeves (Rep)_Absentee by Mail Votes,Daniel Reeves (Rep)_Provisional Votes,Daniel Reeves (Rep)_Choice Total,Total,
0,Pickens,Yellow Creek,3571,833,1036,383,0,2252,2252,
1,Pickens,Sharptop,2616,600,748,382,0,1730,1730,
2,Pickens,Appalachian,1933,419,629,177,0,1225,1225,
3,Pickens,Refuge,2490,568,801,207,0,1576,1576,
4,Pickens,Hill,2042,553,610,185,2,1350,1350,
5,Pickens,Hinton,825,314,148,35,0,497,497,
6,Pickens,Jerusalem,1145,499,201,73,0,773,773,
7,Pickens,Ludville,721,313,99,36,0,448,448,
8,Pickens,Nelson,1474,433,377,104,0,914,914,
9,Pickens,Talking Rock,1781,462,489,152,3,1106,1106,
10,Pickens,Jasper,2517,490,687,194,1,1372,1372,
11,Pickens,Tate,2651,677,814,220,0,1711,1711,
