index,County,Precinct,Registered Voters,"Harry B. James, III (I) (Dem)_Election Day Votes","Harry B. James, III (I) (Dem)_Advanced Voting Votes","Harry B. James, III (I) (Dem)_Absentee by Mail Votes","Harry B. James, III (I) (Dem)_Provisional Votes","Harry B. James, III (I) (Dem)_Choice Total",Total,
0,Richmond,101,896,134,209,155,3,501,501,
1,Richmond,102,1278,152,188,199,3,542,542,
2,Richmond,103,1428,155,297,272,2,726,726,
3,Richmond,104,2976,436,535,560,4,1535,1535,
4,Richmond,105,832,113,226,163,1,503,503,
5,Richmond,106,1182,162,132,138,1,433,433,
6,Richmond,107,1800,226,385,330,1,942,942,
7,Richmond,108,517,74,112,118,0,304,304,
8,Richmond,109,1052,115,262,176,1,554,554,
9,Richmond,111,1578,202,280,295,1,778,778,
10,Richmond,112,882,57,161,189,2,409,409,
11,Richmond,114,856,116,141,147,1,405,405,
12,Richmond,201,581,236,266,227,4,733,733,
13,Richmond,115,1332,64,68,69,0,201,201,
14,Richmond,202,4492,613,864,618,7,2102,2102,
15,Richmond,203,991,138,165,191,2,496,496,
16,Richmond,204,1578,221,345,249,3,818,818,
17,Richmond,207,2705,351,441,416,8,1216,1216,
18,Richmond,208,2651,346,523,412,4,1285,1285,
19,Richmond,210,1507,169,344,364,3,880,880,
20,Richmond,301,2409,313,630,430,1,1374,1374,
21,Richmond,302,1032,155,244,138,0,537,537,
22,Richmond,303,1417,127,402,229,1,759,759,
23,Richmond,304,365,49,85,65,0,199,199,
24,Richmond,305,428,39,131,94,0,264,264,
25,Richmond,306,3934,410,1017,684,3,2114,2114,
26,Richmond,307,1642,175,383,296,0,854,854,
27,Richmond,308,622,72,147,92,1,312,312,
28,Richmond,309,3340,350,1158,768,3,2279,2279,
29,Richmond,310,5163,530,1549,1022,3,3104,3104,
30,Richmond,401,2093,248,722,500,0,1470,1470,
31,Richmond,402,3311,472,569,545,4,1590,1590,
32,Richmond,404,1748,249,479,366,4,1098,1098,
33,Richmond,405,4424,364,1500,1131,2,2997,2997,
34,Richmond,406,3221,350,1027,805,5,2187,2187,
35,Richmond,501,3549,407,770,785,3,1965,1965,
36,Richmond,502,4138,512,993,886,6,2397,2397,
37,Richmond,503,4021,422,969,795,5,2191,2191,
38,Richmond,504,2339,322,425,321,5,1073,1073,
39,Richmond,506,416,50,87,47,2,186,186,
40,Richmond,507,968,161,242,147,1,551,551,
41,Richmond,509,2172,235,640,456,5,1336,1336,
42,Richmond,601,3988,412,919,599,15,1945,1945,
43,Richmond,603,3570,492,658,501,2,1653,1653,
44,Richmond,604,1811,274,346,267,0,887,887,
45,Richmond,605,3880,453,793,640,1,1887,1887,
46,Richmond,607,1812,202,554,419,1,1176,1176,
47,Richmond,608,1472,207,304,210,1,722,722,
48,Richmond,701,2403,283,563,422,2,1270,1270,
49,Richmond,702,1943,281,442,259,0,982,982,
50,Richmond,703,4644,545,1068,608,6,2227,2227,
51,Richmond,705,2276,246,577,429,1,1253,1253,
52,Richmond,706,3315,279,949,571,2,1801,1801,
53,Richmond,707,2122,312,543,263,2,1120,1120,
54,Richmond,708,305,17,91,36,0,144,144,
55,Richmond,709,576,54,145,114,0,313,313,
56,Richmond,801,523,104,48,73,1,226,226,
57,Richmond,801B,523,123,36,62,0,221,221,
58,Richmond,802,3251,563,459,423,3,1448,1448,
59,Richmond,803,252,31,37,28,1,97,97,
60,Richmond,804,2096,254,520,316,0,1090,1090,
61,Richmond,804H,2863,375,628,466,5,1474,1474,
62,Richmond,805,798,103,226,125,1,455,455,
63,Richmond,806,1212,193,252,161,1,607,607,
64,Richmond,807,1578,180,371,271,1,823,823,
65,Richmond,808,2366,348,588,389,1,1326,1326,
66,Richmond,809,879,83,317,198,2,600,600,
67,Richmond,810,425,39,125,68,0,232,232,
