index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Richmond,101,896,114,121,63,1,299,59,134,114,1,308,10,13,10,1,34,641,
1,Richmond,102,1278,46,66,43,0,155,123,153,179,3,458,15,10,6,0,31,644,
2,Richmond,103,1428,5,14,8,0,27,150,286,264,2,702,8,7,13,0,28,757,
3,Richmond,104,2976,22,47,33,0,102,407,503,557,6,1473,17,16,13,0,46,1621,
4,Richmond,105,832,10,14,12,0,36,105,210,161,1,477,5,9,3,0,17,530,
5,Richmond,106,1182,38,55,33,0,126,130,100,122,2,354,11,5,8,0,24,504,
6,Richmond,107,1800,179,271,157,0,607,112,230,265,1,608,18,16,10,0,44,1259,
7,Richmond,108,517,15,14,16,0,45,53,97,108,0,258,10,5,4,0,19,322,
8,Richmond,109,1052,29,49,34,0,112,94,220,154,1,469,6,16,15,0,37,618,
9,Richmond,111,1578,57,83,50,0,190,161,241,249,1,652,6,9,14,0,29,871,
10,Richmond,112,882,16,79,91,0,186,40,116,144,2,302,8,8,10,0,26,514,
11,Richmond,114,856,25,15,18,0,58,103,129,124,1,357,4,4,9,0,17,432,
12,Richmond,201,581,19,11,10,0,40,229,257,218,4,708,5,6,4,1,16,764,
13,Richmond,115,1332,42,42,24,0,108,42,42,53,0,137,5,3,1,0,9,254,
14,Richmond,202,4492,207,270,218,0,695,451,690,510,8,1659,38,35,20,0,93,2447,
15,Richmond,203,991,4,5,4,2,15,126,161,185,0,472,12,5,5,1,23,510,
16,Richmond,204,1578,172,204,120,0,496,100,220,177,1,498,26,26,17,2,71,1065,
17,Richmond,207,2705,51,50,46,1,148,312,401,388,7,1108,19,12,11,0,42,1298,
18,Richmond,208,2651,74,92,62,1,229,289,458,369,3,1119,20,22,14,0,56,1404,
19,Richmond,210,1507,37,60,40,1,138,140,301,332,3,776,15,12,15,0,42,956,
20,Richmond,301,2409,324,583,301,0,1208,111,262,259,0,632,19,19,11,1,50,1890,
21,Richmond,302,1032,30,69,43,0,142,129,195,113,0,437,8,6,6,0,20,599,
22,Richmond,303,1417,161,462,191,1,815,18,115,123,0,256,16,19,8,0,43,1114,
23,Richmond,304,365,56,66,45,0,167,11,39,42,0,92,2,6,5,0,13,272,
24,Richmond,305,428,48,156,88,1,293,6,36,35,0,77,1,6,2,0,9,379,
