County,Precinct,Registered Voters,Gloria Frazier (I) (Dem)_Election Day Votes,Gloria Frazier (I) (Dem)_Advanced Voting Votes,Gloria Frazier (I) (Dem)_Absentee by Mail Votes,Gloria Frazier (I) (Dem)_Provisional Votes,Gloria Frazier (I) (Dem)_Choice Total,Total,
Richmond,401,2093,249,729,501,0,1479,1479,
Richmond,404,1748,250,481,364,4,1099,1099,
Richmond,405,4424,366,1511,1134,2,3013,3013,
Richmond,406,3221,351,1033,818,3,2205,2205,
Richmond,509,2172,233,645,458,3,1339,1339,
Richmond,607,1812,204,547,427,1,1179,1179,
Richmond,804,2096,252,512,312,0,1076,1076,
Richmond,804H,2863,379,626,450,4,1459,1459,
Richmond,807,1578,179,367,270,0,816,816,
Richmond,809,879,85,321,199,2,607,607,
Richmond,810,425,37,122,67,0,226,226,
