index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Rockdale,BA,4803,215,751,279,0,1245,232,1253,620,1,2106,29,50,24,0,103,3454,
1,Rockdale,BT,4007,441,797,308,5,1551,146,497,356,0,999,41,55,26,0,122,2672,
2,Rockdale,CO,3862,105,238,111,2,456,272,920,436,2,1630,16,36,14,0,66,2152,
3,Rockdale,FI,6328,70,350,160,0,580,351,2117,1086,0,3554,30,68,40,0,138,4272,
4,Rockdale,FS,4038,82,315,176,0,573,198,1248,623,0,2069,16,38,23,0,77,2719,
5,Rockdale,HC,2411,136,452,170,0,758,117,496,287,0,900,13,42,11,0,66,1724,
6,Rockdale,HI,3515,127,505,174,0,806,157,943,461,0,1561,11,34,17,0,62,2429,
7,Rockdale,LA,2001,76,165,91,0,332,110,372,334,0,816,15,25,13,0,53,1201,
8,Rockdale,LO,3943,341,603,254,1,1199,203,956,563,0,1722,20,29,13,0,62,2983,
9,Rockdale,MA,3180,220,525,206,0,951,150,643,360,1,1154,27,34,18,0,79,2184,
10,Rockdale,MI,4226,91,321,125,0,537,236,1170,572,4,1982,25,54,18,1,98,2617,
11,Rockdale,OT,6135,60,294,165,1,520,375,1760,840,5,2980,24,63,26,0,113,3613,
12,Rockdale,RO,4633,116,490,193,0,799,248,1352,653,2,2255,21,48,19,0,88,3142,
13,Rockdale,SM,4308,85,489,178,1,753,194,1367,653,5,2219,19,50,24,0,93,3065,
14,Rockdale,SP,4781,89,464,187,1,741,252,1590,662,1,2505,27,50,21,0,98,3344,
15,Rockdale,ST,3334,105,552,238,2,897,131,810,450,1,1392,22,49,23,0,94,2383,
