index,County,Precinct,Registered Voters,James Max Strickland (I) (Dem)_Election Day Votes,James Max Strickland (I) (Dem)_Advanced Voting Votes,James Max Strickland (I) (Dem)_Absentee by Mail Votes,James Max Strickland (I) (Dem)_Provisional Votes,James Max Strickland (I) (Dem)_Choice Total,Total,
0,Screven,Sylvania,0,119,385,204,1,709,709,
1,Screven,Hunters,0,97,132,70,9,308,308,
2,Screven,Newington,0,247,265,95,0,607,607,
3,Screven,Jenk Hill Fire Sta,0,148,367,135,1,651,651,
4,Screven,Rocky Ford,0,103,143,66,0,312,312,
5,Screven,Bay Branch,0,180,332,76,1,589,589,
6,Screven,Hiltonia,0,152,280,96,0,528,528,
7,Screven,Screven Rec Dept,0,65,121,59,3,248,248,
8,Screven,Greenhill Church,0,177,268,81,0,526,526,
9,Screven,Sr Citizens Center,0,157,385,165,0,707,707,
10,Screven,Jackson Fire Station,0,108,82,48,0,238,238,
11,Screven,Cooperville Fire Station,0,32,79,44,3,158,158,
