index,County,Precinct,Registered Voters,Cortisa Barthell (I) (Dem)_Election Day Votes,Cortisa Barthell (I) (Dem)_Advanced Voting Votes,Cortisa Barthell (I) (Dem)_Absentee by Mail Votes,Cortisa Barthell (I) (Dem)_Provisional Votes,Cortisa Barthell (I) (Dem)_Choice Total,Total,
0,Sumter,Agri-Center,2059,155,669,243,1,1068,1068,
1,Sumter,Airport,1767,182,666,252,0,1100,1100,
2,Sumter,Andersonville,434,134,82,39,1,256,256,
3,Sumter,Browns Mill,929,113,265,105,0,483,483,
4,Sumter,Concord,376,84,70,23,3,180,180,
5,Sumter,GSW Conf Center,3044,236,1018,410,2,1666,1666,
6,Sumter,Leslie,1687,259,395,177,2,833,833,
7,Sumter,Plains,1061,206,262,142,1,611,611,
8,Sumter,Rec Dept,2667,285,801,486,1,1573,1573,
9,Sumter,Reese Park,3064,285,816,461,0,1562,1562,
10,Sumter,Thompson,712,109,147,79,1,336,336,
