index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Sumter,Agri-Center,2059,1,3,2,0,6,1,3,1,0,5,71,284,50,0,405,0,2,1,0,3,1,12,1,0,14,1,4,1,0,6,5,8,1,0,14,7,42,17,0,66,7,9,2,0,18,5,2,2,0,9,5,12,2,0,19,1,16,4,0,21,57,286,39,0,382,1,5,2,0,8,3,2,0,0,5,0,0,0,0,0,0,2,0,0,2,3,13,3,0,19,48,207,169,1,425,4,0,2,0,6,1433,
1,Sumter,Airport,1767,2,3,1,0,6,1,0,0,0,1,66,271,61,0,398,0,2,1,0,3,1,6,1,0,8,2,1,3,0,6,2,8,1,0,11,15,51,12,0,78,5,12,2,0,19,2,6,0,0,8,6,14,0,0,20,3,16,2,0,21,52,187,48,0,287,0,2,0,0,2,1,1,0,0,2,1,1,0,0,2,0,3,3,0,6,2,4,1,0,7,52,236,157,0,445,1,5,2,0,8,1338,
2,Sumter,Andersonville,434,0,0,0,0,0,0,0,0,0,0,79,34,12,1,126,1,0,0,0,1,5,2,0,0,7,0,0,0,0,0,1,2,0,0,3,9,8,4,0,21,2,0,0,0,2,4,1,0,0,5,0,0,0,0,0,0,1,0,0,1,66,42,12,0,120,0,0,0,0,0,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,1,0,0,2,19,22,22,0,63,1,0,0,0,1,356,
3,Sumter,Browns Mill,929,0,0,0,0,0,0,0,0,0,0,76,150,22,0,248,0,0,0,0,0,2,7,1,1,11,1,1,0,0,2,0,1,1,0,2,2,8,5,0,15,1,5,1,0,7,2,4,0,0,6,3,3,2,0,8,3,2,0,0,5,53,112,24,0,189,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,3,0,0,3,31,76,67,0,174,1,0,0,0,1,677,
4,Sumter,Concord,376,0,2,0,0,2,0,0,0,0,0,81,48,10,5,144,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,5,0,0,0,0,0,3,1,0,0,4,0,0,1,0,1,0,2,3,0,5,54,28,10,4,96,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,4,1,0,0,5,10,11,8,0,29,0,1,0,0,1,299,
5,Sumter,GSW Conf Center,3044,0,4,1,0,5,1,1,1,0,3,58,368,89,0,515,0,3,1,0,4,2,10,4,0,16,1,3,1,0,5,5,10,3,0,18,19,74,31,0,124,8,17,12,0,37,6,9,4,0,19,7,25,3,0,35,9,35,12,0,56,56,337,115,0,508,3,12,0,0,15,2,6,1,0,9,1,1,1,0,3,0,8,6,0,14,7,6,2,0,15,86,363,211,2,662,2,5,1,0,8,2071,
6,Sumter,Leslie,1687,0,0,0,0,0,0,0,1,0,1,133,209,28,0,370,1,1,0,0,2,1,5,2,0,8,1,0,1,1,3,2,6,1,0,9,14,23,7,0,44,0,4,3,0,7,6,4,0,0,10,5,3,6,0,14,3,11,4,0,18,142,162,49,0,353,1,3,0,0,4,2,1,1,0,4,0,1,0,0,1,1,2,1,0,4,6,3,1,0,10,73,118,111,1,303,0,2,0,0,2,1167,
7,Sumter,Plains,1061,2,0,0,0,2,0,1,0,0,1,63,85,21,1,170,1,1,0,0,2,3,0,0,0,3,1,1,0,0,2,4,5,0,0,9,20,19,2,0,41,7,5,2,0,14,0,2,0,0,2,5,6,6,0,17,7,6,1,0,14,78,90,30,0,198,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,77,105,102,0,284,2,1,1,0,4,771,
8,Sumter,Rec Dept,2667,4,8,4,0,16,0,1,4,0,5,18,80,30,0,128,2,1,0,0,3,3,5,1,0,9,1,7,4,0,12,3,8,0,0,11,60,98,37,1,196,7,23,12,0,42,3,2,0,0,5,11,30,10,0,51,18,36,8,0,62,18,85,25,0,128,4,7,0,0,11,4,1,0,0,5,1,0,0,0,1,2,3,6,0,11,0,2,0,0,2,137,482,387,0,1006,4,5,2,0,11,1715,
9,Sumter,Reese Park,3064,1,6,3,0,10,0,1,0,0,1,23,89,33,0,145,0,1,2,0,3,3,3,0,0,6,2,9,0,0,11,5,8,2,0,15,48,113,26,0,187,10,15,9,0,34,0,3,1,0,4,20,47,1,0,68,10,32,12,0,54,23,99,51,0,173,5,17,1,0,23,2,2,0,0,4,0,2,0,0,2,4,7,2,0,13,3,2,1,0,6,139,441,365,0,945,3,7,2,0,12,1716,
