index,County,Precinct,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,
0,Thomas,Barwick,630,136,235,52,0,423,423,
1,Thomas,Boston,1632,218,464,139,0,821,821,
2,Thomas,Central,3523,241,1513,321,0,2075,2075,
3,Thomas,Coolidge,983,229,299,71,0,599,599,
4,Thomas,Douglass,2448,175,510,145,0,830,830,
5,Thomas,LIttle Ochlocknee Baptist Church1132,223,495,90,0,808,808,,
6,Thomas,Fire Station #2,1404,141,635,176,0,952,952,
7,Thomas,Gatlin Creek,2069,238,916,197,0,1351,1351,
8,Thomas,Harper,2001,120,446,147,0,713,713,
9,Thomas,Jerger,1898,132,806,243,0,1181,1181,
10,Thomas,Meigs,864,191,190,66,1,448,448,
11,Thomas,Metcalfe,299,87,82,25,0,194,194,
12,Thomas,New Covenant,2155,246,930,196,0,1372,1372,
13,Thomas,Ochlocknee,1175,289,388,58,0,735,735,
14,Thomas,Pavo,673,193,194,54,0,441,441,
15,Thomas,Remington Esc,2190,194,823,234,0,1251,1251,
16,Thomas,Resource Center,1363,85,209,123,0,417,417,
17,Thomas,Scott,2491,165,1089,239,1,1494,1494,
18,Thomas,Merrillville,701,65,296,45,0,406,406,
19,Thomas,Patten,397,89,161,26,0,276,276,
