index,County,Precinct,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
0,Thomas,Barwick,630,125,214,41,0,380,39,43,21,0,103,2,1,0,0,3,486,
1,Thomas,Boston,1632,150,363,79,0,592,126,264,156,0,546,2,6,2,0,10,1148,
2,Thomas,Central,3523,189,1291,238,1,1719,86,509,255,0,850,9,9,6,0,24,2593,
3,Thomas,Coolidge,983,218,286,57,0,561,65,57,40,0,162,2,2,3,0,7,730,
4,Thomas,Douglass,2448,54,169,40,0,263,228,715,268,0,1211,5,4,3,0,12,1486,
5,Thomas,LIttle Ochlocknee Baptist Church1132,206,446,78,0,730,19,123,40,0,182,1,3,0,0,4,916,,
6,Thomas,Fire Station #2,1404,130,546,122,0,798,18,198,108,0,324,2,4,0,0,6,1128,
7,Thomas,Gatlin Creek,2069,207,808,142,0,1157,53,238,117,0,408,6,6,3,0,15,1580,
8,Thomas,Harper,2001,38,217,45,0,300,156,546,297,0,999,3,8,1,0,12,1311,
9,Thomas,Jerger,1898,93,631,159,0,883,76,336,168,0,580,2,11,3,0,16,1479,
10,Thomas,Meigs,864,134,164,46,0,344,144,59,35,1,239,3,1,0,0,4,587,
11,Thomas,Metcalfe,299,77,71,15,0,163,16,22,26,0,64,0,0,0,0,0,227,
12,Thomas,New Covenant,2155,225,816,119,0,1160,51,236,125,0,412,4,8,6,0,18,1590,
13,Thomas,Ochlocknee,1175,269,363,52,0,684,56,69,23,1,149,1,2,0,0,3,836,
14,Thomas,Pavo,673,184,178,39,0,401,19,31,40,0,90,2,0,0,0,2,493,
15,Thomas,Remington Esc,2190,145,653,175,0,973,75,381,179,0,635,8,10,1,0,19,1627,
16,Thomas,Resource Center,1363,8,51,12,0,71,140,431,240,0,811,3,0,3,0,6,888,
17,Thomas,Scott,2491,120,878,158,0,1156,75,461,214,2,752,8,15,4,0,27,1935,
18,Thomas,Merrillville,701,64,269,35,0,368,17,68,48,0,133,1,1,0,0,2,503,
19,Thomas,Patten,397,82,151,18,0,251,14,32,12,0,58,1,0,0,0,1,310,
