index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Thomas,Barwick,630,115,210,40,0,365,36,42,18,0,96,5,2,4,0,11,472,
1,Thomas,Boston,1632,146,355,80,0,581,115,240,149,0,504,7,15,5,0,27,1112,
2,Thomas,Central,3523,178,1262,240,1,1681,77,460,227,0,764,16,41,9,0,66,2511,
3,Thomas,Coolidge,983,200,268,58,0,526,47,53,39,0,139,12,10,4,0,26,691,
4,Thomas,Douglass,2448,51,174,41,0,266,217,661,249,0,1127,12,21,9,0,42,1435,
5,Thomas,LIttle Ochlocknee Baptist Church1132,197,434,78,0,709,16,114,34,0,164,10,11,1,0,22,895,,
6,Thomas,Fire Station #2,1404,133,561,128,0,822,14,153,86,0,253,3,14,5,0,22,1097,
7,Thomas,Gatlin Creek,2069,204,803,143,0,1150,39,209,106,0,354,11,18,9,0,38,1542,
8,Thomas,Harper,2001,37,229,51,0,317,140,499,280,0,919,10,17,3,0,30,1266,
9,Thomas,Jerger,1898,95,654,171,0,920,62,280,137,0,479,6,26,9,0,41,1440,
10,Thomas,Meigs,864,131,162,47,0,340,127,57,32,1,217,9,1,2,0,12,569,
11,Thomas,Metcalfe,299,77,66,15,0,158,14,23,25,0,62,2,1,0,0,3,223,
12,Thomas,New Covenant,2155,219,804,126,0,1149,44,221,111,0,376,8,21,8,0,37,1562,
13,Thomas,Ochlocknee,1175,251,357,47,0,655,49,64,20,1,134,15,4,2,0,21,810,
14,Thomas,Pavo,673,180,174,38,0,392,16,32,38,0,86,6,1,2,0,9,487,
15,Thomas,Remington Esc,2190,138,649,167,0,954,71,335,157,0,563,13,27,8,0,48,1565,
16,Thomas,Resource Center,1363,10,54,15,0,79,130,396,230,0,756,4,7,2,0,13,848,
17,Thomas,Scott,2491,118,873,158,0,1149,67,416,200,2,685,14,30,7,0,51,1885,
18,Thomas,Merrillville,701,63,263,36,0,362,13,66,47,0,126,0,4,0,0,4,492,
19,Thomas,Patten,397,79,147,19,0,245,12,26,10,0,48,2,4,0,0,6,299,
