index,County,Precinct,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
0,Thomas,Barwick,630,124,214,41,0,379,32,39,19,0,90,7,3,1,0,11,480,
1,Thomas,Boston,1632,155,360,76,0,591,116,251,144,0,511,7,16,3,0,26,1128,
2,Thomas,Central,3523,188,1293,236,1,1718,79,480,236,0,795,15,26,13,0,54,2567,
3,Thomas,Coolidge,983,212,284,55,0,551,61,56,39,0,156,8,5,2,0,15,722,
4,Thomas,Douglass,2448,53,184,41,0,278,219,679,232,0,1130,13,16,7,0,36,1444,
5,Thomas,LIttle Ochlocknee Baptist Church1132,201,447,77,0,725,18,117,32,0,167,7,6,2,0,15,907,,
6,Thomas,Fire Station #2,1404,135,557,128,0,820,15,178,95,0,288,1,12,1,0,14,1122,
7,Thomas,Gatlin Creek,2069,210,813,144,0,1167,45,219,103,0,367,10,15,9,0,34,1568,
8,Thomas,Harper,2001,45,232,44,0,321,141,523,274,0,938,11,13,8,0,32,1291,
9,Thomas,Jerger,1898,99,652,172,0,923,67,308,145,0,520,4,13,4,0,21,1464,
10,Thomas,Meigs,864,132,167,44,0,343,139,56,35,1,231,10,2,0,0,12,586,
11,Thomas,Metcalfe,299,78,67,13,0,158,15,24,28,0,67,1,3,0,0,4,229,
12,Thomas,New Covenant,2155,219,815,117,0,1151,54,227,118,0,399,6,17,8,0,31,1581,
13,Thomas,Ochlocknee,1175,262,360,47,0,669,54,69,22,1,146,5,4,3,0,12,827,
14,Thomas,Pavo,673,182,178,40,0,400,18,30,37,0,85,3,2,2,0,7,492,
15,Thomas,Remington Esc,2190,138,650,170,0,958,75,365,156,0,596,14,23,10,0,47,1601,
16,Thomas,Resource Center,1363,10,65,15,0,90,137,404,228,0,769,4,6,1,0,11,870,
17,Thomas,Scott,2491,119,887,152,0,1158,74,449,203,2,728,11,16,7,0,34,1920,
18,Thomas,Merrillville,701,63,270,33,0,366,16,66,43,0,125,0,3,1,0,4,495,
19,Thomas,Patten,397,83,151,20,0,254,12,28,10,0,50,1,1,0,0,2,306,
