County,Precinct,Registered Voters,Jonathan E. Jones (I) (Rep)_Election Day Votes,Jonathan E. Jones (I) (Rep)_Advanced Voting Votes,Jonathan E. Jones (I) (Rep)_Absentee by Mail Votes,Jonathan E. Jones (I) (Rep)_Provisional Votes,Jonathan E. Jones (I) (Rep)_Choice Total,Total,
Tift,Tifton Northeast,3332,290,1167,291,12,1760,1760,
Tift,Brighton,2219,351,1094,189,0,1634,1634,
Tift,Brookfield,1501,329,547,80,0,956,956,
Tift,Chula,1314,319,528,130,1,978,978,
Tift,Docia,1056,242,457,100,1,800,800,
Tift,Eldorado,1262,296,439,78,2,815,815,
Tift,Omega,864,285,163,41,1,490,490,
Tift,Ty Ty,1221,289,378,87,1,755,755,
Tift,Tifton Northwest,3334,343,1388,282,0,2013,2013,
Tift,Tifton South,2366,154,455,129,1,739,739,
Tift,Mott-Litman Gym,2889,184,467,156,1,808,808,
Tift,Tifton Lodge,3091,252,1168,285,0,1705,1705,
