index,County,Precinct,Registered Voters,Joshua D. Hendrix (I) (Rep)_Election Day Votes,Joshua D. Hendrix (I) (Rep)_Advanced Voting Votes,Joshua D. Hendrix (I) (Rep)_Absentee by Mail Votes,Joshua D. Hendrix (I) (Rep)_Provisional Votes,Joshua D. Hendrix (I) (Rep)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,291,1189,299,13,1792,1792,
1,Tift,Brighton,2219,354,1090,188,0,1632,1632,
2,Tift,Brookfield,1501,330,558,84,0,972,972,
3,Tift,Chula,1314,319,532,133,1,985,985,
4,Tift,Docia,1056,245,454,102,1,802,802,
5,Tift,Eldorado,1262,300,450,81,2,833,833,
6,Tift,Omega,864,284,162,40,1,487,487,
7,Tift,Ty Ty,1221,286,381,86,1,754,754,
8,Tift,Tifton Northwest,3334,345,1403,288,0,2036,2036,
9,Tift,Tifton South,2366,161,467,143,1,772,772,
10,Tift,Mott-Litman Gym,2889,184,484,170,1,839,839,
11,Tift,Tifton Lodge,3091,252,1183,289,0,1724,1724,
