index,County,Precinct,Registered Voters,Carden H. Summers (I) (Rep)_Election Day Votes,Carden H. Summers (I) (Rep)_Advanced Voting Votes,Carden H. Summers (I) (Rep)_Absentee by Mail Votes,Carden H. Summers (I) (Rep)_Provisional Votes,Carden H. Summers (I) (Rep)_Choice Total,Mary Egler (Dem)_Election Day Votes,Mary Egler (Dem)_Advanced Voting Votes,Mary Egler (Dem)_Absentee by Mail Votes,Mary Egler (Dem)_Provisional Votes,Mary Egler (Dem)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,212,883,211,7,1313,135,417,170,6,728,2041,
1,Tift,Brighton,2219,326,981,161,0,1468,40,153,80,0,273,1741,
2,Tift,Brookfield,1501,303,509,67,0,879,41,64,37,0,142,1021,
3,Tift,Chula,1314,309,481,111,1,902,20,78,45,0,143,1045,
4,Tift,Docia,1056,225,429,81,1,736,21,33,28,0,82,818,
5,Tift,Eldorado,1262,268,418,71,2,759,34,46,19,0,99,858,
6,Tift,Omega,864,240,137,31,1,409,59,37,22,0,118,527,
7,Tift,Ty Ty,1221,246,334,67,1,648,66,71,35,0,172,820,
8,Tift,Tifton Northwest,3334,270,1168,213,0,1651,115,361,154,0,630,2281,
9,Tift,Tifton South,2366,66,292,51,0,409,175,329,223,4,731,1140,
10,Tift,Mott-Litman Gym,2889,42,207,35,0,284,232,516,332,3,1083,1367,
11,Tift,Tifton Lodge,3091,185,974,200,0,1359,101,343,179,1,624,1983,
