index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Tift,Tifton Northeast,3332,2,2,2,0,6,0,11,1,0,12,69,356,75,0,500,1,3,0,0,4,5,12,1,0,18,2,4,2,0,8,6,13,2,1,22,32,76,23,5,136,4,16,8,0,28,4,7,1,0,12,12,45,11,0,68,14,32,13,0,59,106,477,116,3,702,2,11,3,0,16,5,8,2,0,15,1,0,0,0,1,0,5,4,0,9,11,11,0,0,22,76,253,118,3,450,1,7,3,0,11,2099,
1,Tift,Brighton,2219,0,1,1,0,2,1,5,1,0,7,122,413,58,0,593,2,1,0,0,3,9,7,1,0,17,1,3,0,0,4,5,4,0,0,9,5,13,8,0,26,0,8,3,0,11,6,6,3,0,15,1,4,3,0,8,5,12,3,0,20,180,538,92,0,810,1,1,0,0,2,1,8,0,0,9,0,0,1,0,1,1,1,0,0,2,6,14,1,0,21,25,113,72,0,210,1,3,1,0,5,1775,
2,Tift,Brookfield,1501,0,2,0,0,2,2,4,1,0,7,135,236,26,0,397,0,0,0,0,0,7,12,5,0,24,0,1,0,0,1,5,6,0,0,11,15,10,7,0,32,1,4,2,0,7,9,3,0,0,12,3,3,0,0,6,6,2,2,0,10,145,240,32,0,417,3,1,0,0,4,0,7,1,0,8,0,0,0,0,0,0,0,0,0,0,4,6,1,0,11,20,47,25,0,92,0,1,3,0,4,1045,
3,Tift,Chula,1314,3,0,0,0,3,0,0,4,0,4,125,227,57,0,409,0,0,0,0,0,4,7,0,0,11,1,0,1,0,2,4,2,2,0,8,2,6,6,0,14,1,6,0,0,7,6,6,1,0,13,1,4,1,0,6,3,4,7,0,14,160,227,46,1,434,0,2,0,0,2,1,2,1,0,4,0,0,0,0,0,0,2,0,0,2,5,4,0,0,9,12,61,29,0,102,1,0,1,0,2,1046,
4,Tift,Docia,1056,0,0,0,0,0,1,2,2,0,5,104,180,40,0,324,0,1,0,0,1,4,3,2,0,9,1,1,0,0,2,1,2,1,0,4,2,2,4,0,8,1,1,2,0,4,1,6,0,0,7,2,4,1,0,7,0,2,3,0,5,117,235,41,1,394,2,1,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7,9,27,17,0,53,1,1,0,0,2,837,
5,Tift,Eldorado,1262,1,0,0,0,1,0,0,0,0,0,107,172,28,1,308,0,2,0,0,2,5,7,0,0,12,0,1,0,0,1,0,2,0,0,2,4,6,2,1,13,2,0,1,0,3,5,6,0,0,11,4,11,1,0,16,2,5,2,0,9,151,223,43,0,417,0,2,0,0,2,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,24,29,10,0,63,0,1,1,0,2,873,
6,Tift,Omega,864,2,0,0,0,2,1,0,0,0,1,88,56,11,1,156,0,2,0,0,2,5,2,0,0,7,0,1,0,0,1,2,0,0,0,2,16,8,1,0,25,5,5,0,0,10,3,2,0,0,5,4,2,2,0,8,0,4,2,0,6,139,68,21,0,228,3,2,2,0,7,4,0,1,0,5,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,34,18,12,0,64,2,0,0,0,2,534,
7,Tift,Ty Ty,1221,0,1,0,0,1,1,2,0,0,3,86,149,28,0,263,1,0,0,0,1,4,2,2,0,8,2,1,1,0,4,3,1,0,0,4,6,8,1,0,15,1,3,0,0,4,6,6,0,0,12,2,3,3,0,8,11,6,3,0,20,132,168,39,1,340,0,3,0,0,3,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,3,3,0,0,6,58,57,25,0,140,0,1,1,0,2,837,
8,Tift,Tifton Northwest,3334,2,1,0,0,3,0,6,4,0,10,103,510,90,0,703,1,4,1,0,6,10,15,2,0,27,2,5,1,0,8,4,15,2,0,21,20,45,21,0,86,4,18,7,0,29,5,12,3,0,20,9,18,5,0,32,10,23,6,0,39,130,588,108,0,826,2,12,0,0,14,7,9,5,0,21,1,2,0,0,3,0,4,3,0,7,6,16,1,0,23,72,248,109,0,429,2,6,0,0,8,2315,
9,Tift,Tifton South,2366,0,2,1,0,3,0,0,3,0,3,27,128,21,0,176,0,3,0,0,3,2,6,0,0,8,0,1,1,0,2,5,6,1,0,12,30,46,24,1,101,7,14,3,0,24,1,4,2,0,7,12,32,13,1,58,8,17,2,0,27,30,142,25,0,197,3,9,4,0,16,2,1,1,0,4,1,1,0,0,2,0,1,5,0,6,1,5,0,0,6,116,229,176,2,523,4,6,1,0,11,1189,
