index,County,Precinct,Registered Voters,Randy Robertson (I) (Rep)_Election Day Votes,Randy Robertson (I) (Rep)_Advanced Voting Votes,Randy Robertson (I) (Rep)_Absentee by Mail Votes,Randy Robertson (I) (Rep)_Provisional Votes,Randy Robertson (I) (Rep)_Choice Total,Total,
0,Troup,Hollis Hand,3554,505,1312,543,1,2361,2361,
1,Troup,Administration Bldg,3907,331,605,291,4,1231,1231,
2,Troup,Hammett Rd,4354,478,919,400,3,1800,1800,
3,Troup,Griggs Center,2457,168,218,129,4,519,519,
4,Troup,West Point,2054,289,251,149,4,693,693,
5,Troup,Rosemont,3893,564,1501,440,3,2508,2508,
6,Troup,Long Cane,3249,671,1052,278,3,2004,2004,
7,Troup,Gray Hill,1878,495,485,123,5,1108,1108,
8,Troup,Highland,1686,168,429,149,1,747,747,
9,Troup,Northside,2600,288,823,270,3,1384,1384,
