index,County,Precinct,Registered Voters,Shane Frailey (I) (Rep)_Election Day Votes,Shane Frailey (I) (Rep)_Advanced Voting Votes,Shane Frailey (I) (Rep)_Absentee by Mail Votes,Shane Frailey (I) (Rep)_Provisional Votes,Shane Frailey (I) (Rep)_Choice Total,Total,
0,Troup,Hollis Hand,3554,517,1352,580,1,2450,2450,
1,Troup,Administration Bldg,3907,351,644,332,4,1331,1331,
2,Troup,Hammett Rd,4354,489,971,440,5,1905,1905,
3,Troup,Griggs Center,2457,185,236,156,4,581,581,
4,Troup,West Point,2054,300,264,167,4,735,735,
5,Troup,Hogansville,3806,389,1469,346,3,2207,2207,
6,Troup,East Vernon,3117,646,1145,405,4,2200,2200,
7,Troup,Rosemont,3893,620,1679,520,4,2823,2823,
8,Troup,McClendon,3533,587,1511,354,7,2459,2459,
9,Troup,Long Cane,3249,698,1105,296,3,2102,2102,
10,Troup,Gardner Newman,2876,335,998,300,5,1638,1638,
11,Troup,Gray Hill,1878,507,491,130,7,1135,1135,
12,Troup,Highland,1686,172,472,167,2,813,813,
13,Troup,Northside,2600,296,858,288,4,1446,1446,
