index,County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
0,Union,Blairsville,2435,244,881,298,3,1426,18,136,164,0,318,13,23,14,0,50,1794,
1,Union,Coosa,2294,362,890,227,0,1479,27,119,96,0,242,14,26,8,0,48,1769,
2,Union,Choestoe,1377,261,476,135,1,873,23,82,77,0,182,6,12,5,0,23,1078,
3,Union,Jones Creek,1945,376,683,220,2,1281,27,102,113,0,242,7,17,10,0,34,1557,
4,Union,Owltown,1517,224,523,194,0,941,17,96,110,0,223,12,11,3,0,26,1190,
5,Union,Ivy Log,2008,349,724,268,0,1341,24,112,99,0,235,10,15,8,0,33,1609,
6,Union,Suches,611,216,75,53,0,344,24,16,45,0,85,11,7,4,0,22,451,
7,Union,Trackrock,1110,185,373,119,0,677,14,72,73,0,159,11,11,3,0,25,861,
8,Union,Dooley,1531,306,451,153,1,911,39,90,111,0,240,12,11,6,0,29,1180,
9,Union,Gumlog,2143,358,745,241,1,1345,23,103,120,0,246,18,15,16,0,49,1640,
10,Union,Pat Colwell,2230,297,876,251,1,1425,30,149,142,0,321,13,19,12,1,45,1791,
