index,County,Precinct,Registered Voters,Karen Lee Stoker (I) (Rep)_Election Day Votes,Karen Lee Stoker (I) (Rep)_Advanced Voting Votes,Karen Lee Stoker (I) (Rep)_Absentee by Mail Votes,Karen Lee Stoker (I) (Rep)_Provisional Votes,Karen Lee Stoker (I) (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,777,2171,689,1,3638,3638,
1,Walker,Walnut Grove,2212,447,788,199,0,1434,1434,
2,Walker,Rock Spring,6275,695,2717,615,0,4027,4027,
3,Walker,Armuchee Valley,1453,566,242,108,0,916,916,
4,Walker,Mountain,1254,395,242,121,1,759,759,
5,Walker,Chattanooga Valley,6325,897,2248,709,2,3856,3856,
6,Walker,Kensington,1347,372,339,109,2,822,822,
7,Walker,Rossville,6255,599,1890,587,1,3077,3077,
8,Walker,Chickamauga,6890,460,2009,493,0,2962,2962,
9,Walker,Fairyland,1265,171,487,96,0,754,754,
10,Walker,Fairview,3101,417,884,301,1,1603,1603,
