index,County,Precinct,Registered Voters,Chris A. Arnt (Rep)_Election Day Votes,Chris A. Arnt (Rep)_Advanced Voting Votes,Chris A. Arnt (Rep)_Absentee by Mail Votes,Chris A. Arnt (Rep)_Provisional Votes,Chris A. Arnt (Rep)_Choice Total,Total,
0,Walker,La Fayette,6547,778,2169,688,1,3636,3636,
1,Walker,Walnut Grove,2212,444,786,191,0,1421,1421,
2,Walker,Rock Spring,6275,693,2703,632,0,4028,4028,
3,Walker,Armuchee Valley,1453,563,254,108,0,925,925,
4,Walker,Mountain,1254,399,244,133,1,777,777,
5,Walker,Chattanooga Valley,6325,892,2244,720,2,3858,3858,
6,Walker,Kensington,1347,374,338,112,1,825,825,
7,Walker,Rossville,6255,591,1891,587,1,3070,3070,
8,Walker,Chickamauga,6890,664,2944,722,1,4331,4331,
9,Walker,Fairyland,1265,175,490,103,0,768,768,
10,Walker,Fairview,3101,416,879,292,1,1588,1588,
