index,County,Precinct,Registered Voters,Marjorie Taylor Greene (Rep)_Election Day Votes,Marjorie Taylor Greene (Rep)_Advanced Voting Votes,Marjorie Taylor Greene (Rep)_Absentee by Mail Votes,Marjorie Taylor Greene (Rep)_Provisional Votes,Marjorie Taylor Greene (Rep)_Choice Total,Kevin Van Ausdal (Dem)_Election Day Votes,Kevin Van Ausdal (Dem)_Advanced Voting Votes,Kevin Van Ausdal (Dem)_Absentee by Mail Votes,Kevin Van Ausdal (Dem)_Provisional Votes,Kevin Van Ausdal (Dem)_Choice Total,Total,
0,Walker,La Fayette,6547,706,1998,526,1,3231,128,390,310,0,828,4059,
1,Walker,Walnut Grove,2212,427,756,165,0,1348,36,79,62,0,177,1525,
2,Walker,Rock Spring,6275,657,2548,544,0,3749,92,350,239,0,681,4430,
3,Walker,Armuchee Valley,1453,548,234,80,0,862,57,43,59,0,159,1021,
4,Walker,Mountain,1254,382,221,106,1,710,46,46,68,0,160,870,
5,Walker,Chattanooga Valley,6325,791,2028,569,2,3390,184,405,397,0,986,4376,
6,Walker,Kensington,1347,347,315,86,1,749,47,72,60,1,180,929,
7,Walker,Rossville,6255,492,1696,464,0,2652,185,392,330,1,908,3560,
8,Walker,Chickamauga,6890,621,2761,593,1,3976,98,398,305,0,801,4777,
9,Walker,Fairyland,1265,150,387,81,0,618,37,175,64,0,276,894,
10,Walker,Fairview,3101,380,810,237,2,1429,79,175,138,0,392,1821,
