index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Walker,La Fayette,6547,6,10,5,0,21,10,10,11,0,31,231,728,176,0,1135,1,5,6,0,12,31,50,15,0,96,8,25,8,0,41,30,58,13,0,101,19,78,58,0,155,8,31,13,0,52,22,53,4,0,79,10,26,12,0,48,31,68,47,0,146,326,1028,304,1,1659,7,12,10,0,29,22,22,9,0,53,3,7,2,0,12,3,8,11,0,22,23,61,5,0,89,42,127,140,0,309,6,6,8,0,20,4110,
1,Walker,Walnut Grove,2212,3,5,1,0,9,1,0,4,0,5,155,276,58,0,489,2,3,0,0,5,18,36,4,0,58,5,1,0,0,6,15,20,3,0,38,7,25,15,0,47,2,4,4,0,10,10,23,1,0,34,2,0,0,0,2,5,16,13,0,34,205,369,98,0,672,1,3,1,0,5,5,6,2,0,13,0,3,0,0,3,1,2,0,0,3,13,26,5,0,44,9,26,26,0,61,2,2,1,0,5,1543,
2,Walker,Rock Spring,6275,3,3,4,0,10,7,10,8,0,25,212,860,215,0,1287,3,7,9,0,19,38,84,15,0,137,7,23,6,0,36,29,35,8,0,72,21,64,32,0,117,4,32,9,0,45,24,52,13,0,89,1,20,10,0,31,11,44,33,0,88,311,1413,295,0,2019,5,17,4,0,26,11,12,3,0,26,4,2,1,0,7,2,11,9,0,22,26,86,10,0,122,31,128,103,0,262,1,7,8,0,16,4456,
3,Walker,Armuchee Valley,1453,3,0,1,0,4,2,1,0,0,3,201,77,39,0,317,2,0,1,0,3,13,5,0,0,18,4,1,0,0,5,15,6,2,0,23,9,18,10,0,37,3,5,2,0,10,8,5,1,0,14,5,3,3,0,11,8,2,7,0,17,286,127,41,0,454,1,0,0,0,1,5,3,2,0,10,2,1,1,0,4,0,0,2,0,2,15,8,0,0,23,19,13,28,0,60,3,2,0,0,5,1021,
4,Walker,Mountain,1254,1,0,0,0,1,3,1,2,0,6,141,63,35,1,240,2,0,0,0,2,15,6,5,0,26,4,1,1,0,6,5,7,1,0,13,8,6,11,0,25,1,0,4,0,5,11,6,4,0,21,1,2,3,0,6,9,8,8,0,25,202,129,63,0,394,1,2,0,0,3,3,1,2,0,6,3,1,0,0,4,1,1,6,0,8,6,7,2,0,15,17,24,32,0,73,1,1,3,0,5,884,
5,Walker,Chattanooga Valley,6325,4,8,6,0,18,6,4,6,0,16,235,717,198,1,1151,5,6,4,0,15,38,63,19,0,120,6,16,5,0,27,16,47,12,0,75,23,72,58,0,153,9,18,21,0,48,33,52,8,1,94,7,25,13,0,45,36,62,57,0,155,428,1111,340,0,1879,8,15,7,0,30,23,22,9,0,54,5,7,3,0,15,0,7,17,0,24,31,42,9,0,82,69,163,167,0,399,3,2,18,0,23,4423,
6,Walker,Kensington,1347,2,2,0,0,4,3,1,0,0,4,113,94,49,1,257,1,2,0,0,3,12,15,1,0,28,2,2,0,0,4,12,11,1,0,24,7,19,11,0,37,4,2,3,1,10,6,5,1,0,12,2,3,1,0,6,14,17,14,0,45,186,159,35,0,380,3,5,0,0,8,4,5,1,0,10,1,1,0,0,2,3,2,2,0,7,7,10,2,0,19,11,24,29,0,64,0,2,3,0,5,929,
7,Walker,Rossville,6255,5,11,3,0,19,9,6,6,0,21,131,512,169,0,812,4,4,1,0,9,23,75,8,0,106,9,12,4,0,25,28,51,9,0,88,38,100,62,0,200,15,40,13,1,69,18,38,3,0,59,18,19,19,0,56,35,70,50,0,155,234,950,288,0,1472,11,14,6,0,31,15,19,5,0,39,5,6,1,0,12,3,7,14,0,24,17,48,1,0,66,47,111,133,0,291,6,9,15,0,30,3584,
8,Walker,Chickamauga,6890,12,6,1,0,19,7,5,4,0,16,169,939,203,1,1312,3,12,8,0,23,27,99,17,0,143,7,30,3,0,40,23,56,9,0,88,21,50,41,0,112,6,17,8,0,31,20,52,4,0,76,4,16,11,0,31,19,68,64,0,151,320,1535,365,0,2220,4,19,4,0,27,17,29,8,0,54,3,6,0,0,9,4,18,11,0,33,26,85,8,0,119,28,146,138,0,312,2,9,6,0,17,4833,
9,Walker,Fairyland,1265,2,0,0,0,2,2,2,0,0,4,50,132,36,0,218,1,2,1,0,4,5,6,1,0,12,0,1,0,0,1,6,12,3,0,21,4,29,11,0,44,1,4,0,0,5,2,4,2,0,8,4,7,0,0,11,3,39,8,0,50,88,238,40,0,366,1,2,1,0,4,5,2,3,0,10,0,0,0,0,0,0,5,0,0,5,4,9,1,0,14,14,79,42,0,135,0,2,0,0,2,916,
