index,County,Precinct,Registered Voters,David Thompson (Rep)_Election Day Votes,David Thompson (Rep)_Advanced Voting Votes,David Thompson (Rep)_Absentee by Mail Votes,David Thompson (Rep)_Provisional Votes,David Thompson (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,760,1905,634,0,3299,3299,
1,Walton,Whatley,1254,249,515,160,0,924,924,
2,Walton,Walker Park,3858,577,1528,468,0,2573,2573,
3,Walton,Gratis,1243,346,462,158,0,966,966,
4,Walton,Between,4925,347,2282,593,0,3222,3222,
5,Walton,Walnut Grove,2661,519,989,252,0,1760,1760,
6,Walton,Loganville North,5225,581,1807,613,0,3001,3001,
7,Walton,Social Circle,4604,839,1476,439,0,2754,2754,
8,Walton,South Monroe,3910,329,1413,418,0,2160,2160,
9,Walton,North Monroe,4818,489,1140,441,0,2070,2070,
10,Walton,Loganville South,3768,432,1285,493,0,2210,2210,
11,Walton,West Walton,4219,623,1767,528,0,2918,2918,
12,Walton,Broken Arrow,4380,620,1801,484,0,2905,2905,
13,Walton,Bay Creek,3401,382,1505,403,0,2290,2290,
14,Walton,E Monroe,4119,470,1073,330,0,1873,1873,
15,Walton,W Monroe,2027,267,918,256,0,1441,1441,
16,Walton,Tara,4050,359,1421,428,0,2208,2208,
17,Walton,Mountain,1657,302,619,182,0,1103,1103,
18,Walton,Jersey,1970,685,627,199,0,1511,1511,
19,Walton,Blasingame,1115,402,332,114,0,848,848,
20,Walton,Good Hope,2149,659,684,183,0,1526,1526,
