index,County,Precinct,Registered Voters,John F. Brewer (I) (Rep)_Election Day Votes,John F. Brewer (I) (Rep)_Advanced Voting Votes,John F. Brewer (I) (Rep)_Absentee by Mail Votes,John F. Brewer (I) (Rep)_Provisional Votes,John F. Brewer (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,760,1910,635,0,3305,3305,
1,Walton,Whatley,1254,251,519,157,0,927,927,
2,Walton,Walker Park,3858,573,1526,473,0,2572,2572,
3,Walton,Gratis,1243,347,461,158,0,966,966,
4,Walton,Between,4925,347,2287,593,0,3227,3227,
5,Walton,Walnut Grove,2661,523,987,254,0,1764,1764,
6,Walton,Loganville North,5225,584,1806,615,0,3005,3005,
7,Walton,Social Circle,4604,841,1481,447,0,2769,2769,
8,Walton,South Monroe,3910,330,1407,424,0,2161,2161,
9,Walton,North Monroe,4818,485,1136,447,0,2068,2068,
10,Walton,Loganville South,3768,429,1287,495,0,2211,2211,
11,Walton,West Walton,4219,619,1770,533,0,2922,2922,
12,Walton,Broken Arrow,4380,622,1807,485,0,2914,2914,
13,Walton,Bay Creek,3401,381,1509,400,0,2290,2290,
14,Walton,E Monroe,4119,468,1074,332,0,1874,1874,
15,Walton,W Monroe,2027,267,917,252,0,1436,1436,
16,Walton,Tara,4050,359,1421,428,0,2208,2208,
17,Walton,Mountain,1657,302,617,186,0,1105,1105,
18,Walton,Jersey,1970,684,629,198,0,1511,1511,
19,Walton,Blasingame,1115,404,333,119,0,856,856,
20,Walton,Good Hope,2149,659,688,189,0,1536,1536,
