index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Walton,Bold Springs,4653,4,2,4,0,10,2,3,1,0,6,196,604,189,0,989,0,1,1,0,2,11,15,5,0,31,3,2,1,0,6,11,17,3,0,31,25,48,32,0,105,5,13,6,0,24,9,16,5,0,30,7,16,4,0,27,11,12,24,0,47,423,1078,319,0,1820,4,3,2,0,9,10,13,5,0,28,0,5,0,0,5,1,1,4,0,6,7,19,5,0,31,70,207,191,0,468,0,8,1,0,9,3684,
1,Walton,Whatley,1254,1,0,1,0,2,1,0,0,0,1,77,187,37,0,301,1,1,0,0,2,2,2,1,0,5,0,0,0,0,0,3,4,0,0,7,1,5,2,0,8,1,2,1,0,4,3,9,0,0,12,0,2,0,0,2,2,5,5,0,12,153,290,92,0,535,2,1,1,0,4,4,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,16,33,40,0,89,0,1,2,0,3,1000,
2,Walton,Walker Park,3858,1,1,2,0,4,3,6,1,0,10,171,497,140,0,808,3,1,0,0,4,14,17,8,0,39,2,3,2,0,7,8,18,4,0,30,16,28,18,0,62,5,5,3,0,13,8,18,2,0,28,4,13,3,0,20,7,13,13,0,33,294,852,241,0,1387,7,3,1,0,11,14,4,4,0,22,0,2,0,0,2,0,0,2,0,2,6,14,2,0,22,51,150,131,0,332,2,3,1,0,6,2842,
3,Walton,Gratis,1243,0,0,0,0,0,0,0,1,0,1,110,151,53,0,314,1,0,0,0,1,2,4,1,0,7,2,0,0,0,2,2,2,0,0,4,3,6,7,0,16,0,0,1,0,1,2,0,0,0,2,1,1,1,0,3,2,0,1,0,3,203,267,72,0,542,1,1,0,0,2,2,2,0,0,4,0,0,1,0,1,3,1,1,0,5,3,10,0,0,13,15,33,54,0,102,0,0,0,0,0,1023,
4,Walton,Between,4925,0,0,0,0,0,2,5,5,0,12,94,705,158,0,957,2,4,1,0,7,1,39,16,0,56,1,6,0,0,7,3,21,5,0,29,13,58,25,0,96,2,14,10,0,26,3,10,2,0,15,2,19,7,0,28,3,24,12,0,39,203,1265,298,0,1766,0,8,2,0,10,7,16,4,0,27,0,6,2,0,8,1,2,5,0,8,3,30,7,0,40,32,245,196,0,473,0,4,3,0,7,3611,
5,Walton,Walnut Grove,2661,1,0,1,0,2,2,2,3,0,7,153,304,72,0,529,1,1,3,0,5,8,21,3,0,32,1,1,2,0,4,12,10,0,0,22,3,18,6,0,27,2,2,1,0,5,10,5,0,0,15,1,9,5,0,15,6,10,6,0,22,295,559,121,0,975,6,1,0,0,7,8,5,1,0,14,0,1,0,0,1,1,0,1,0,2,9,10,1,0,20,24,110,82,0,216,0,2,0,0,2,1922,
6,Walton,Loganville North,5225,3,5,2,0,10,2,4,2,0,8,140,534,145,0,819,0,7,3,0,10,13,38,11,0,62,1,5,4,0,10,6,20,6,0,32,29,80,33,0,142,12,19,14,0,45,7,23,0,0,30,7,27,12,0,46,11,30,11,0,52,301,907,305,0,1513,4,13,1,0,18,15,18,10,0,43,2,5,0,0,7,0,2,1,0,3,9,24,3,0,36,85,334,236,0,655,3,10,4,0,17,3558,
7,Walton,Social Circle,4604,1,2,2,0,5,4,4,1,0,9,212,444,105,0,761,4,1,1,0,6,16,13,4,0,33,5,3,0,0,8,11,19,1,0,31,42,46,28,0,116,8,10,6,0,24,12,13,2,0,27,8,11,8,0,27,5,12,8,0,25,432,788,203,0,1423,6,7,3,0,16,14,8,5,0,27,3,2,0,0,5,0,2,2,0,4,11,17,4,0,32,150,281,260,0,691,4,6,3,0,13,3283,
8,Walton,South Monroe,3910,0,6,2,0,8,2,9,0,0,11,64,443,112,0,619,0,2,0,0,2,11,18,3,0,32,4,2,1,0,7,10,11,0,0,21,16,62,25,0,103,5,15,8,0,28,2,11,0,0,13,8,25,5,0,38,3,22,6,0,31,155,682,187,0,1024,5,5,2,0,12,5,10,3,0,18,1,9,2,0,12,0,6,0,0,6,8,9,4,0,21,71,271,175,0,517,1,8,2,0,11,2534,
9,Walton,North Monroe,4818,2,1,3,0,6,4,3,2,0,9,92,246,83,0,421,4,1,1,0,6,5,14,3,0,22,2,3,2,0,7,7,15,4,0,26,56,112,51,0,219,19,31,24,0,74,12,11,5,0,28,10,31,11,0,52,17,33,10,0,60,167,458,131,0,756,4,18,2,0,24,11,11,0,0,22,1,2,2,0,5,0,0,2,0,2,5,8,1,0,14,172,469,388,0,1029,5,10,4,0,19,2801,
10,Walton,Loganville South,3768,1,4,4,0,9,5,4,2,0,11,92,378,146,0,616,3,8,2,0,13,11,16,6,0,33,1,6,3,0,10,6,16,1,0,23,28,62,37,0,127,9,21,7,0,37,6,21,4,0,31,9,27,8,0,44,10,20,11,0,41,197,614,211,0,1022,3,5,0,0,8,4,14,2,0,20,3,5,2,0,10,1,0,2,0,3,6,18,3,0,27,96,240,177,0,513,2,9,5,0,16,2614,
11,Walton,West Walton,4219,4,3,2,0,9,3,5,4,0,12,152,529,145,0,826,2,5,0,0,7,15,22,9,0,46,1,7,1,0,9,10,17,2,0,29,19,53,13,0,85,6,10,9,0,25,16,18,7,0,41,4,18,7,0,29,9,37,12,0,58,339,959,263,0,1561,2,8,3,0,13,5,12,7,0,24,4,2,0,0,6,1,1,1,0,3,9,12,2,0,23,53,236,160,0,449,4,4,4,0,12,3267,
