index,County,Precinct,Registered Voters,Randy F. Royal (I) (Rep)_Election Day Votes,Randy F. Royal (I) (Rep)_Advanced Voting Votes,Randy F. Royal (I) (Rep)_Absentee by Mail Votes,Randy F. Royal (I) (Rep)_Provisional Votes,Randy F. Royal (I) (Rep)_Choice Total,Chris Tatum (Dem)_Election Day Votes,Chris Tatum (Dem)_Advanced Voting Votes,Chris Tatum (Dem)_Absentee by Mail Votes,Chris Tatum (Dem)_Provisional Votes,Chris Tatum (Dem)_Choice Total,Total,
0,Ware,100,4740,106,449,349,0,904,201,705,613,0,1519,2423,
1,Ware,200A,2730,170,729,204,0,1103,105,314,133,0,552,1655,
2,Ware,200B,976,39,153,75,0,267,35,108,82,0,225,492,
3,Ware,300,4061,301,1244,376,0,1921,162,467,213,0,842,2763,
4,Ware,304,1269,111,260,60,0,431,98,206,47,0,351,782,
5,Ware,400,3538,302,1223,332,0,1857,146,431,131,0,708,2565,
6,Ware,404,373,117,48,37,0,202,49,24,12,0,85,287,
7,Ware,405,636,156,149,48,0,353,58,54,11,0,123,476,
8,Ware,406,1659,245,549,117,0,911,74,169,28,0,271,1182,
9,Ware,407,505,165,92,22,0,279,44,24,9,0,77,356,
10,Ware,408,523,147,94,20,0,261,69,35,8,0,112,373,
11,Ware,409,984,169,272,69,0,510,69,112,20,0,201,711,
