index,County,Precinct,Registered Voters,Al Bartell (Ind)_Election Day Votes,Al Bartell (Ind)_Advanced Voting Votes,Al Bartell (Ind)_Absentee by Mail Votes,Al Bartell (Ind)_Provisional Votes,Al Bartell (Ind)_Choice Total,Allen Buckley (Ind)_Election Day Votes,Allen Buckley (Ind)_Advanced Voting Votes,Allen Buckley (Ind)_Absentee by Mail Votes,Allen Buckley (Ind)_Provisional Votes,Allen Buckley (Ind)_Choice Total,Doug Collins (Rep)_Election Day Votes,Doug Collins (Rep)_Advanced Voting Votes,Doug Collins (Rep)_Absentee by Mail Votes,Doug Collins (Rep)_Provisional Votes,Doug Collins (Rep)_Choice Total,John Fortuin (Grn)_Election Day Votes,John Fortuin (Grn)_Advanced Voting Votes,John Fortuin (Grn)_Absentee by Mail Votes,John Fortuin (Grn)_Provisional Votes,John Fortuin (Grn)_Choice Total,Derrick E. Grayson (Rep)_Election Day Votes,Derrick E. Grayson (Rep)_Advanced Voting Votes,Derrick E. Grayson (Rep)_Absentee by Mail Votes,Derrick E. Grayson (Rep)_Provisional Votes,Derrick E. Grayson (Rep)_Choice Total,Michael Todd Greene (Ind)_Election Day Votes,Michael Todd Greene (Ind)_Advanced Voting Votes,Michael Todd Greene (Ind)_Absentee by Mail Votes,Michael Todd Greene (Ind)_Provisional Votes,Michael Todd Greene (Ind)_Choice Total,Annette Davis Jackson (Rep)_Election Day Votes,Annette Davis Jackson (Rep)_Advanced Voting Votes,Annette Davis Jackson (Rep)_Absentee by Mail Votes,Annette Davis Jackson (Rep)_Provisional Votes,Annette Davis Jackson (Rep)_Choice Total,Deborah Jackson (Dem)_Election Day Votes,Deborah Jackson (Dem)_Advanced Voting Votes,Deborah Jackson (Dem)_Absentee by Mail Votes,Deborah Jackson (Dem)_Provisional Votes,Deborah Jackson (Dem)_Choice Total,Jamesia James (Dem)_Election Day Votes,Jamesia James (Dem)_Advanced Voting Votes,Jamesia James (Dem)_Absentee by Mail Votes,Jamesia James (Dem)_Provisional Votes,Jamesia James (Dem)_Choice Total,A. Wayne Johnson (Rep)_Election Day Votes,A. Wayne Johnson (Rep)_Advanced Voting Votes,A. Wayne Johnson (Rep)_Absentee by Mail Votes,A. Wayne Johnson (Rep)_Provisional Votes,A. Wayne Johnson (Rep)_Choice Total,Tamara Johnson-Shealey (Dem)_Election Day Votes,Tamara Johnson-Shealey (Dem)_Advanced Voting Votes,Tamara Johnson-Shealey (Dem)_Absentee by Mail Votes,Tamara Johnson-Shealey (Dem)_Provisional Votes,Tamara Johnson-Shealey (Dem)_Choice Total,Matt Lieberman (Dem)_Election Day Votes,Matt Lieberman (Dem)_Advanced Voting Votes,Matt Lieberman (Dem)_Absentee by Mail Votes,Matt Lieberman (Dem)_Provisional Votes,Matt Lieberman (Dem)_Choice Total,Kelly Loeffler (I) (Rep)_Election Day Votes,Kelly Loeffler (I) (Rep)_Advanced Voting Votes,Kelly Loeffler (I) (Rep)_Absentee by Mail Votes,Kelly Loeffler (I) (Rep)_Provisional Votes,Kelly Loeffler (I) (Rep)_Choice Total,Joy Felicia Slade (Dem)_Election Day Votes,Joy Felicia Slade (Dem)_Advanced Voting Votes,Joy Felicia Slade (Dem)_Absentee by Mail Votes,Joy Felicia Slade (Dem)_Provisional Votes,Joy Felicia Slade (Dem)_Choice Total,Brian Slowinski (Lib)_Election Day Votes,Brian Slowinski (Lib)_Advanced Voting Votes,Brian Slowinski (Lib)_Absentee by Mail Votes,Brian Slowinski (Lib)_Provisional Votes,Brian Slowinski (Lib)_Choice Total,Valencia Stovall (Ind)_Election Day Votes,Valencia Stovall (Ind)_Advanced Voting Votes,Valencia Stovall (Ind)_Absentee by Mail Votes,Valencia Stovall (Ind)_Provisional Votes,Valencia Stovall (Ind)_Choice Total,Ed Tarver (Dem)_Election Day Votes,Ed Tarver (Dem)_Advanced Voting Votes,Ed Tarver (Dem)_Absentee by Mail Votes,Ed Tarver (Dem)_Provisional Votes,Ed Tarver (Dem)_Choice Total,Kandiss Taylor (Rep)_Election Day Votes,Kandiss Taylor (Rep)_Advanced Voting Votes,Kandiss Taylor (Rep)_Absentee by Mail Votes,Kandiss Taylor (Rep)_Provisional Votes,Kandiss Taylor (Rep)_Choice Total,Raphael Warnock (Dem)_Election Day Votes,Raphael Warnock (Dem)_Advanced Voting Votes,Raphael Warnock (Dem)_Absentee by Mail Votes,Raphael Warnock (Dem)_Provisional Votes,Raphael Warnock (Dem)_Choice Total,Richard Dien Winfield (Dem)_Election Day Votes,Richard Dien Winfield (Dem)_Advanced Voting Votes,Richard Dien Winfield (Dem)_Absentee by Mail Votes,Richard Dien Winfield (Dem)_Provisional Votes,Richard Dien Winfield (Dem)_Choice Total,Total,
0,Wayne,Odum,1260,0,1,0,0,1,1,1,0,0,2,119,225,37,0,381,0,0,1,0,1,5,5,6,0,16,0,1,0,0,1,4,2,0,0,6,1,11,6,0,18,0,0,0,0,0,5,14,0,0,19,0,4,1,0,5,5,1,5,0,11,151,232,39,0,422,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,1,0,0,0,1,11,16,2,0,29,8,20,19,0,47,0,0,3,0,3,966,
1,Wayne,Madray Springs,1176,0,0,0,0,0,1,0,2,0,3,73,216,49,0,338,0,0,0,0,0,6,13,3,0,22,1,1,0,0,2,3,10,0,0,13,1,0,1,0,2,1,1,3,0,5,8,6,0,0,14,1,4,2,0,7,3,2,5,0,10,72,268,68,0,408,0,0,1,0,1,0,2,1,0,3,2,0,0,0,2,0,0,0,0,0,7,11,1,0,19,5,24,13,1,43,0,0,0,0,0,892,
2,Wayne,Oglethorpe,1741,0,2,1,0,3,0,0,0,0,0,91,287,60,0,438,1,1,1,0,3,7,18,3,0,28,1,1,1,0,3,5,11,0,0,16,3,16,3,0,22,1,4,0,0,5,9,17,2,0,28,3,0,0,0,3,1,5,5,0,11,112,360,76,0,548,0,2,0,0,2,1,0,0,0,1,1,0,0,0,1,0,1,1,0,2,4,13,3,0,20,14,56,40,0,110,1,1,0,0,2,1246,
3,Wayne,Screven,1849,2,0,0,0,2,0,1,0,0,1,175,224,50,1,450,0,2,0,0,2,9,15,2,0,26,1,3,0,0,4,5,4,1,0,10,5,13,12,0,30,3,4,3,0,10,15,14,0,0,29,2,1,4,0,7,7,5,0,0,12,229,307,63,0,599,2,1,0,0,3,1,3,0,0,4,0,2,1,0,3,0,0,0,0,0,16,17,2,1,36,34,53,29,0,116,1,2,1,0,4,1348,
4,Wayne,Empire,1106,3,0,0,0,3,0,3,0,0,3,67,200,52,0,319,1,1,0,0,2,8,11,1,0,20,0,1,0,0,1,1,8,0,0,9,1,6,2,0,9,0,1,1,0,2,3,13,1,0,17,0,1,0,0,1,4,3,2,0,9,101,260,39,0,400,0,2,0,0,2,1,4,0,0,5,1,1,1,0,3,0,0,1,0,1,1,11,0,0,12,5,22,11,0,38,0,2,0,0,2,858,
5,Wayne,Red Hill,1036,0,0,0,0,0,1,0,1,0,2,49,147,34,0,230,0,0,0,0,0,6,6,2,0,14,1,2,0,0,3,1,5,2,0,8,5,8,5,0,18,1,1,0,0,2,6,8,0,0,14,0,3,0,0,3,1,6,3,0,10,56,163,38,0,257,0,4,0,0,4,6,2,0,0,8,1,0,0,0,1,0,1,1,0,2,7,12,0,0,19,11,47,25,0,83,1,1,1,0,3,681,
6,Wayne,Altamaha,2857,1,2,0,0,3,0,3,3,0,6,69,386,76,1,532,0,3,1,0,4,9,27,3,0,39,1,3,0,0,4,7,7,0,0,14,13,34,12,0,59,8,15,2,0,25,14,30,3,0,47,3,10,3,0,16,3,11,6,0,20,106,457,81,2,646,3,9,3,0,15,4,4,0,0,8,0,2,0,0,2,1,2,0,0,3,7,32,2,0,41,37,148,64,0,249,1,7,5,0,13,1746,
7,Wayne,Gardi,1123,1,0,0,0,1,1,1,1,0,3,101,148,39,1,289,0,0,0,0,0,0,8,1,0,9,0,1,0,0,1,5,5,6,0,16,3,2,3,0,8,0,3,1,0,4,12,4,2,0,18,0,0,1,0,1,2,4,0,0,6,155,157,57,0,369,0,0,0,0,0,0,3,1,0,4,2,1,2,0,5,0,0,0,0,0,6,9,2,0,17,14,17,20,0,51,0,0,1,0,1,803,
8,Wayne,VFW,1145,1,2,2,0,5,0,0,2,0,2,5,43,16,0,64,0,0,1,0,1,0,3,1,0,4,0,1,0,0,1,3,6,0,0,9,14,34,23,0,71,10,25,6,0,41,1,3,0,0,4,5,14,6,0,25,2,12,0,0,14,10,35,12,0,57,2,9,1,0,12,0,2,0,0,2,1,2,0,0,3,0,0,0,0,0,1,7,2,0,10,42,192,85,1,320,5,2,1,0,8,653,
9,Wayne,Pine Street,1140,0,4,3,0,7,2,2,1,0,5,22,133,40,0,195,0,0,1,0,1,1,7,0,0,8,1,0,0,0,1,1,3,0,0,4,4,32,9,0,45,4,8,3,0,15,3,2,1,0,6,3,8,3,0,14,4,15,0,0,19,28,114,32,0,174,1,5,2,0,8,1,3,2,0,6,0,1,0,0,1,0,1,1,0,2,3,3,0,0,6,50,121,41,0,212,1,1,0,0,2,731,
