index,County,Precinct,Registered Voters,Charlie Thomas (I) (Rep)_Election Day Votes,Charlie Thomas (I) (Rep)_Advanced Voting Votes,Charlie Thomas (I) (Rep)_Absentee by Mail Votes,Charlie Thomas (I) (Rep)_Provisional Votes,Charlie Thomas (I) (Rep)_Choice Total,Total,
0,White,Blue Creek,2352,421,838,309,0,1568,1568,
1,White,Blue Ridge,929,179,278,133,0,590,590,
2,White,Helen,609,131,162,65,0,358,358,
3,White,Mossy Creek,3164,650,1116,345,0,2111,2111,
4,White,Mt Yonah,4468,573,1705,552,2,2832,2832,
5,White,Nacoochee,1552,239,550,261,1,1051,1051,
6,White,Robertstown,407,114,119,48,0,281,281,
7,White,Shoal Creek,2538,469,820,254,0,1543,1543,
8,White,Tesnatee,1231,210,461,153,0,824,824,
9,White,Town Creek,1593,318,535,164,1,1018,1018,
10,White,White Creek,1779,368,639,211,0,1218,1218,
